metric,value
dataset_id,shanghai-june-9-2026-25c-yes-pmxt-l2
adapter,pmxt_event_v1:v1
steps,334501
factor_rows,334501
health_ok,True
health_issue_count,266587
first_timestamp_received,2026-06-07T04:34:30.268000+00:00
last_timestamp_received,2026-06-09T11:59:15.163000+00:00
taker_fee,0.05
taker_fee_source,gamma_event.raw.market.feeSchedule.rate
bid1.count,334488
bid1.mean,0.41202617134246966
bid1.p05,0.14
bid1.p50,0.35
bid1.p95,0.975
ask1.count,334196
ask1.mean,0.44186517791954427
ask1.p05,0.17
ask1.p50,0.38
ask1.p95,0.985
bid_size1.count,334488
bid_size1.mean,63.70602296644424
bid_size1.p05,5.0
bid_size1.p50,26.4
bid_size1.p95,178.41
ask_size1.count,334196
ask_size1.mean,63.37030383367845
ask_size1.p05,5.0
ask_size1.p50,20.85
ask_size1.p95,189.14
mid.count,334183
mid.mean,0.4266700580221017
mid.p05,0.15500000000000003
mid.p50,0.36
mid.p95,0.98
spread.count,334183
spread.mean,0.030359204388014947
spread.p05,0.009000000000000008
spread.p50,0.020000000000000018
spread.p95,0.07
microprice_edge.count,334183
microprice_edge.mean,0.001155607124883597
microprice_edge.p05,-0.011357116359589498
microprice_edge.p50,0.0006725978647686981
microprice_edge.p95,0.015068976640858631
depth_imbalance_1.count,334501
depth_imbalance_1.mean,0.0725557964963399
depth_imbalance_1.p05,-0.8144023756495917
depth_imbalance_1.p50,0.07692307692307693
depth_imbalance_1.p95,0.8848147437128048
depth_imbalance_3.count,334501
depth_imbalance_3.mean,0.07618551090288761
depth_imbalance_3.p05,-0.6499318835460921
depth_imbalance_3.p50,0.10216350669943117
depth_imbalance_3.p95,0.7407725963875698
depth_imbalance_5.count,334501
depth_imbalance_5.mean,0.09377537316070311
depth_imbalance_5.p05,-0.6110968766170805
depth_imbalance_5.p50,0.09392875833976852
depth_imbalance_5.p95,0.7364752286714951
ofi_30s.count,334501
ofi_30s.mean,101.87678715459744
ofi_30s.p05,-59.41
ofi_30s.p50,0.0
ofi_30s.p95,458.59000000000003
trade_pressure_30s.count,334501
trade_pressure_30s.mean,6.16465706468142
trade_pressure_30s.p05,-10.0
trade_pressure_30s.p50,0.0
trade_pressure_30s.p95,50.91
distance_to_boundary.count,334183
distance_to_boundary.mean,0.28258798323074485
distance_to_boundary.p05,0.020000000000000018
distance_to_boundary.p50,0.31
distance_to_boundary.p95,0.47
future_mid_return_60s.count,334175
future_mid_return_60s.mean,0.004419127702551058
future_mid_return_60s.p50,0.0
future_mid_return_300s.count,334148
future_mid_return_300s.mean,0.015701226701940456
future_mid_return_300s.p50,0.0
future_mid_return_900s.count,334052
future_mid_return_900s.mean,0.03855908361572449
future_mid_return_900s.p50,0.0
