factor,horizon_seconds,quantile,count,mean_future_mid_return,median_future_mid_return
microprice_edge,60,1,66889,0.004668861845744443,0.0
microprice_edge,60,2,66779,0.001325394210754878,0.0
microprice_edge,60,3,66835,0.003186833246053713,0.0
microprice_edge,60,4,66849,0.00458130263728702,0.0
microprice_edge,60,5,66823,0.008331121021205276,0.0
microprice_edge,300,1,66889,0.013484399527575533,0.0
microprice_edge,300,2,66752,0.0057733026725790984,0.0
microprice_edge,300,3,66835,0.019231772275005606,0.0
microprice_edge,300,4,66849,0.01397831680354231,0.0
microprice_edge,300,5,66823,0.026030019604028554,0.0
microprice_edge,900,1,66889,0.029940782490394537,0.0040000000000000036
microprice_edge,900,2,66656,0.02333103546567451,0.0
microprice_edge,900,3,66835,0.03768780579037929,0.0
microprice_edge,900,4,66849,0.031986910798964825,0.0
microprice_edge,900,5,66823,0.06982205228738608,0.0050000000000000044
depth_imbalance_1,60,1,66880,0.0011610421650717715,0.0
depth_imbalance_1,60,2,66902,0.003462422648052375,0.0
depth_imbalance_1,60,3,67070,0.007983211570001491,0.0
depth_imbalance_1,60,4,68229,0.006173042254759709,0.0
depth_imbalance_1,60,5,65094,0.003239223277106951,0.0
depth_imbalance_1,300,1,66853,0.005897708405008005,0.0
depth_imbalance_1,300,2,66902,0.016245702669576395,0.0
depth_imbalance_1,300,3,67070,0.023886029521395555,0.0
depth_imbalance_1,300,4,68229,0.023377596036875815,0.0
depth_imbalance_1,300,5,65094,0.00873072787046425,0.0
depth_imbalance_1,900,1,66757,0.01653169705049658,0.0
depth_imbalance_1,900,2,66902,0.03819287913664763,0.0
depth_imbalance_1,900,3,67070,0.052278738631280755,0.0014999999999999458
depth_imbalance_1,900,4,68229,0.05529069017573174,0.0
depth_imbalance_1,900,5,65094,0.02985204473530587,0.0050000000000000044
depth_imbalance_3,60,1,66939,0.0022126114820956396,0.0
depth_imbalance_3,60,2,66841,0.0066609266767403245,0.0
depth_imbalance_3,60,3,66932,0.005664599892428137,0.0
depth_imbalance_3,60,4,66962,0.004101520265225053,0.0
depth_imbalance_3,60,5,66501,0.003453181155170597,0.0
depth_imbalance_3,300,1,66912,0.0043814487685318055,0.0
depth_imbalance_3,300,2,66841,0.017500942535270268,0.0
depth_imbalance_3,300,3,66932,0.021853717205522025,0.0
depth_imbalance_3,300,4,66962,0.020354290493115493,0.0
depth_imbalance_3,300,5,66501,0.01440436234041593,0.0024999999999999467
depth_imbalance_3,900,1,66816,0.014623308788314172,0.0
depth_imbalance_3,900,2,66841,0.04919820170254783,0.0
depth_imbalance_3,900,3,66932,0.04693952817785216,0.0
depth_imbalance_3,900,4,66962,0.04085918879364416,0.0
depth_imbalance_3,900,5,66501,0.04116391482834844,0.0050000000000000044
depth_imbalance_5,60,1,66914,0.002346541829811399,0.0
depth_imbalance_5,60,2,66968,0.005672485366145024,0.0
depth_imbalance_5,60,3,66803,0.006355575348412497,0.0
depth_imbalance_5,60,4,66944,0.0052267044096558305,0.0
depth_imbalance_5,60,5,66546,0.00248553632074054,0.0
depth_imbalance_5,300,1,66887,0.00568007983614155,0.0
depth_imbalance_5,300,2,66968,0.010839333711623468,0.0
depth_imbalance_5,300,3,66803,0.02586882325644058,0.0
depth_imbalance_5,300,4,66944,0.02178752390057361,0.0
depth_imbalance_5,300,5,66546,0.014336887265951368,0.0
depth_imbalance_5,900,1,66791,0.006938337500561449,0.0014999999999999458
depth_imbalance_5,900,2,66968,0.03279676113964879,0.0
depth_imbalance_5,900,3,66803,0.057631872820082926,0.0
depth_imbalance_5,900,4,66944,0.05554420112332696,0.0
depth_imbalance_5,900,5,66546,0.03986196014786764,0.0050000000000000044
ofi_30s,60,1,73011,0.005127939625535877,0.0
ofi_30s,60,2,119861,0.00018755892241846788,0.0
ofi_30s,60,3,7587,-0.00042230130486357973,0.0
ofi_30s,60,4,66869,0.002284690962927514,0.0
ofi_30s,60,5,66847,0.013917064340957706,0.0009999999999998899
ofi_30s,300,1,73007,0.013615988877778843,0.0
ofi_30s,300,2,119849,0.0013540913983429148,0.0
ofi_30s,300,3,7587,0.0017345459338341921,0.0
ofi_30s,300,4,66869,0.0025582332620496793,0.0
ofi_30s,300,5,66836,0.05844093003770423,0.010000000000000009
ofi_30s,900,1,72997,0.06288785840513994,0.0
ofi_30s,900,2,119829,0.008518843518680784,0.0
ofi_30s,900,3,7587,0.024838539607222883,0.0
ofi_30s,900,4,66861,0.020021589566413905,0.0
ofi_30s,900,5,66778,0.08598933780586421,0.01750000000000007
trade_pressure_30s,60,1,288274,0.0019465491164655855,0.0
trade_pressure_30s,60,2,45901,0.019947768022483166,0.0030000000000000027
trade_pressure_30s,300,1,288247,0.00840253844792834,0.0
trade_pressure_30s,300,2,45901,0.061535195311648985,0.010500000000000065
trade_pressure_30s,900,1,288151,0.026407428743957163,0.0
trade_pressure_30s,900,2,45901,0.11484307531426331,0.020000000000000018
