factor,horizon_seconds,quantile,count,mean_future_mid_return,median_future_mid_return,positive_return_share,zero_return_share
depth_imbalance_1,60,1,65472,0.001386653836754644,0.0,0.25462793255131966,0.4473820869990225
depth_imbalance_1,60,2,64496,0.0034320035351029514,0.0,0.25617092532870256,0.5337695360952617
depth_imbalance_1,60,3,65207,0.007496833162083823,0.0,0.3221586639471222,0.46959682242704004
depth_imbalance_1,60,4,64720,0.006113156674907293,0.0,0.2796044499381953,0.562747218788628
depth_imbalance_1,60,5,64965,0.0028092049565150447,0.0,0.21730162395135844,0.6966520434079889
depth_imbalance_1,300,1,65106,0.005733342549073816,0.0,0.36758516880164654,0.20316099898626855
depth_imbalance_1,300,2,64830,0.01135509023600185,0.0,0.3452876754588925,0.31834027456424496
depth_imbalance_1,300,3,64977,0.021333718084860797,0.0,0.4128691690906013,0.2844083291010665
depth_imbalance_1,300,4,66960,0.022883646953405022,0.0,0.39528076463560335,0.3881869772998805
depth_imbalance_1,300,5,62924,0.008329111308880553,0.0,0.37014493674909416,0.5048312249698048
depth_imbalance_1,900,1,65132,0.014104572253270284,0.0,0.4469845851501566,0.10074924768163115
depth_imbalance_1,900,2,65196,0.030122246763605132,0.0,0.42154426651941834,0.1925271489048408
depth_imbalance_1,900,3,64917,0.04389763852303711,0.0014999999999999458,0.5183233975692038,0.1773495386416501
depth_imbalance_1,900,4,66471,0.05588473168750282,0.0,0.46493959771930615,0.2973326713905312
depth_imbalance_1,900,5,63572,0.030160101931668026,0.004999999999999977,0.5210312716290191,0.3197004970741836
depth_imbalance_3,60,1,64972,0.002295181001046606,0.0,0.29706642861540355,0.38852120913624333
depth_imbalance_3,60,2,65191,0.006383664923072204,0.0,0.28675737448420796,0.5017870564955286
depth_imbalance_3,60,3,64753,0.005554970426080645,0.0,0.2229549210075209,0.6163112133800751
depth_imbalance_3,60,4,64993,0.004211930515593988,0.0,0.2230394042435339,0.6332835843860108
depth_imbalance_3,60,5,64951,0.00277747840679897,0.0,0.29999538113346985,0.5695832242767624
depth_imbalance_3,300,1,64966,0.003905881538035281,0.0,0.3791059939045039,0.16757996490471938
depth_imbalance_3,300,2,65010,0.014621165974465469,0.0,0.34097831102907245,0.31152130441470544
depth_imbalance_3,300,3,65091,0.01938805672059117,0.0,0.310242583460079,0.42225499685056306
depth_imbalance_3,300,4,64770,0.01825442334414081,0.0,0.35203026092326695,0.42240234676547783
depth_imbalance_3,300,5,64960,0.013907296798029552,0.0020000000000000018,0.5097290640394089,0.37132081280788176
depth_imbalance_3,900,1,65060,0.012179910851521671,0.0,0.4832001229634184,0.10235167537657547
depth_imbalance_3,900,2,65055,0.0409561909153793,0.0,0.4274229498116978,0.18820997617400662
depth_imbalance_3,900,3,65061,0.04133899724873581,0.0,0.39456817448240883,0.2832418806965771
depth_imbalance_3,900,4,65058,0.03914685357680838,0.0,0.43524239909004275,0.2738940637584924
depth_imbalance_3,900,5,65054,0.04105914317336367,0.0050000000000000044,0.6308912595689735,0.23926276631721338
depth_imbalance_5,60,1,64973,0.0023579255998645585,0.0,0.3272744062918443,0.3766949348190787
depth_imbalance_5,60,2,64977,0.0052997830001385105,0.0,0.2779906736229743,0.510749957677332
depth_imbalance_5,60,3,64973,0.005976928878149385,0.0,0.23252735751773815,0.6086528250196236
depth_imbalance_5,60,4,65062,0.005177376963511729,0.0,0.21754634041375917,0.6359165104054594
depth_imbalance_5,60,5,64875,0.002410358381502889,0.0,0.2747437379576108,0.5770327552986513
depth_imbalance_5,300,1,64965,0.005620534133764333,0.0,0.42549064881089815,0.1748787808820134
depth_imbalance_5,300,2,64961,0.009292844937731871,0.0,0.3635104139406721,0.27479564661874045
depth_imbalance_5,300,3,64982,0.023075259302576097,0.0,0.338924625280847,0.3787818165030316
depth_imbalance_5,300,4,64936,0.018630297523715658,0.0,0.31906800542072195,0.4622859430824196
depth_imbalance_5,300,5,64953,0.013455152186965958,0.0,0.444998691361446,0.4042769387095284
depth_imbalance_5,900,1,65100,0.005894024577572965,0.0014999999999999458,0.5362519201228879,0.10254992319508449
depth_imbalance_5,900,2,65218,0.02705185684933608,0.0,0.3939403232236499,0.11900088932503297
depth_imbalance_5,900,3,64862,0.05108889642625882,0.0,0.3888563411550677,0.26110819894545345
depth_imbalance_5,900,4,65167,0.05102334770666135,0.0,0.46166004265962834,0.304203047554744
depth_imbalance_5,900,5,64941,0.0396903112055558,0.0050000000000000044,0.5907362067107066,0.3005497297547004
