factor,factor_family,label_name,label_mode,horizon_value,event_count,token_metric_count,median_raw_spearman,median_progress_neutral_spearman,positive_token_share,median_nonzero_direction_hit,median_quantile_monotonicity_spearman,median_zero_return_share,median_label_elapsed_seconds,is_cross_event_candidate
depth_imbalance_1,book,valid_obs_200,valid_observation_steps,200,2,22,0.12248718705449793,0.12919331733515324,0.9545454545454546,0.581879779226899,0.8999999999999998,0.538090535827901,314.724,True
depth_imbalance_1,book,valid_obs_50,valid_observation_steps,50,2,22,0.10794956054010542,0.09636172708404792,0.8636363636363636,0.5855755513636582,0.8999999999999998,0.7453401219226052,73.7535,True
microprice_minus_mid,book,valid_obs_200,valid_observation_steps,200,2,22,0.09739735023047721,0.0853257195776892,0.9090909090909091,0.5725559237764792,0.6,0.538090535827901,314.724,True
depth_imbalance_3,book,valid_obs_200,valid_observation_steps,200,2,22,0.0803086210999328,0.0796644838038922,0.7727272727272727,0.5484874726300121,0.75,0.538090535827901,314.724,True
microprice_minus_mid,book,valid_obs_50,valid_observation_steps,50,2,22,0.08394357459812203,0.07711595041896656,0.9090909090909091,0.5707991735969549,0.7,0.7453401219226052,73.7535,True
depth_imbalance_3,book,valid_obs_50,valid_observation_steps,50,2,22,0.06063411906450272,0.07054132832593216,0.7727272727272727,0.5515496230933574,0.8999999999999998,0.7453401219226052,73.7535,True
depth_imbalance_5,book,valid_obs_200,valid_observation_steps,200,2,22,0.06365244339711251,0.05999135306164277,0.6818181818181818,0.5381907703523311,0.7,0.538090535827901,314.724,True
depth_imbalance_1,book,valid_obs_10,valid_observation_steps,10,2,22,0.08464427335135824,0.05533483029614287,0.8636363636363636,0.5890694399686269,0.8999999999999998,0.8753363390287731,12.2045,True
microprice_minus_mid,book,valid_obs_10,valid_observation_steps,10,2,22,0.06829691757348022,0.04709218352880756,0.9090909090909091,0.5807372338921202,0.6,0.8753363390287731,12.2045,True
depth_imbalance_3,book,valid_obs_10,valid_observation_steps,10,2,22,0.04539759422563293,0.04158986391218755,0.8181818181818182,0.5500731763084463,0.7999999999999998,0.8753363390287731,12.2045,True
depth_imbalance_5,book,valid_obs_50,valid_observation_steps,50,2,22,0.0379671802423324,0.04072829313519951,0.8181818181818182,0.5377875854124623,0.6499999999999999,0.7453401219226052,73.7535,True
depth_imbalance_5,book,valid_obs_10,valid_observation_steps,10,2,22,0.022294015032203393,0.02472256719224391,0.7272727272727273,0.5361958249141816,0.7,0.8753363390287731,12.2045,True
depth_imbalance_1,book,wall_300s,wall_clock_seconds,300,2,22,0.12280353893421098,0.1310471125003882,0.8181818181818182,0.569389146045071,0.6,0.5407943926229619,301.94849999999997,False
depth_imbalance_1,book,wall_60s,wall_clock_seconds,60,2,22,0.12019290329552958,0.10866098430966736,0.8636363636363636,0.5939741045724092,0.8999999999999998,0.7489402204938465,61.51575,False
