event_slug,event_title,event_start,event_end,market_index,market_label,condition_id,asset_id,token_side,factor,factor_family,label_name,label_mode,horizon_value,count,raw_spearman,progress_neutral_spearman,nonzero_direction_hit,quantile_monotonicity_spearman,bottom_quantile_mean_return,top_quantile_mean_return,top_minus_bottom_mean_return,zero_return_share,positive_return_share,median_label_elapsed_seconds,p90_label_elapsed_seconds,source_time_inversion_count,source_delay_over_threshold_count
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,depth_imbalance_1,book,wall_60s,wall_clock_seconds,60,7500,-0.3610832097253896,-0.3610832097253896,0.31875,,,,,0.9786666666666667,0.0013333333333333333,64.7815,95.458,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,depth_imbalance_3,book,wall_60s,wall_clock_seconds,60,7500,-0.03334748510869946,-0.03334748510869946,0.3375,-0.39999999999999997,-2.344724370167124e-05,-0.008265422077922078,-0.008241974834220407,0.9786666666666667,0.0013333333333333333,64.7815,95.458,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,depth_imbalance_5,book,wall_60s,wall_clock_seconds,60,7500,0.006807718755927798,0.006807718755927798,0.40625,-0.19999999999999998,-3.680688336520077e-05,-0.007526041666666667,-0.007489234783301466,0.9786666666666667,0.0013333333333333333,64.7815,95.458,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,microprice_minus_mid,book,wall_60s,wall_clock_seconds,60,7500,-0.15488117711701435,-0.15488117711701435,0.375,,-1.111736560652969e-05,-0.01301776649746193,-0.0130066491318554,0.9786666666666667,0.0013333333333333333,64.7815,95.458,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,ofi_30s,flow_clock_sensitive,wall_60s,wall_clock_seconds,60,7500,-0.0809162889642281,-0.0809162889642281,0.775,,-0.00048363980530016223,-0.015682692307692307,-0.015199052502392145,0.9786666666666667,0.0013333333333333333,64.7815,95.458,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,trade_pressure_30s,flow_clock_sensitive,wall_60s,wall_clock_seconds,60,7500,,,0.0625,,,,,0.9786666666666667,0.0013333333333333333,64.7815,95.458,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,depth_imbalance_1,book,wall_300s,wall_clock_seconds,300,7451,-0.6635764448998094,-0.6635764448998094,0.1781609195402299,,,,,0.9532948597503691,0.0029526238088847133,308.85699999999997,342.932,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,depth_imbalance_3,book,wall_300s,wall_clock_seconds,300,7451,-0.0425852350186984,-0.0425852350186984,0.3275862068965517,-0.19999999999999998,-0.00028939393939393936,-0.028888798701298703,-0.028599404761904763,0.9532948597503691,0.0029526238088847133,308.85699999999997,342.932,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,depth_imbalance_5,book,wall_300s,wall_clock_seconds,300,7451,-0.019980189276350004,-0.019980189276350004,0.3936781609195402,-0.19999999999999998,-0.0006890579475558432,-0.0241421130952381,-0.023453055147682256,0.9532948597503691,0.0029526238088847133,308.85699999999997,342.932,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,microprice_minus_mid,book,wall_300s,wall_clock_seconds,300,7451,-0.33140369499081007,-0.33140369499081007,0.2959770114942529,,-2.8624061215814084e-05,-0.04778553299492386,-0.04775690893370804,0.9532948597503691,0.0029526238088847133,308.85699999999997,342.932,4660,7169
