event_slug,queue_model,fill_window_seconds,markout_seconds,quote_side,factor_quantile,token_metric_count,total_probes,total_fills,median_fill_rate,median_mean_markout,positive_markout_token_share
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,60,buy_bid,1,11,5973,30,0.0018484288354898336,-0.0059000000000000025,0.09090909090909091
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,60,buy_bid,2,11,5967,35,0.0018248175182481751,0.0005625000000000031,0.2727272727272727
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,60,buy_bid,3,11,5966,28,0.001851851851851852,-0.006625000000000005,0.09090909090909091
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,60,buy_bid,4,11,5967,8,0.0,,0.0
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,60,buy_bid,5,11,5970,12,0.0017094017094017094,,0.0
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,60,sell_ask,1,11,5973,29,0.0016420361247947454,-0.002199999999999974,0.09090909090909091
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,60,sell_ask,2,11,5967,47,0.006568144499178982,-8.333333333333207e-05,0.18181818181818182
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,60,sell_ask,3,11,5966,57,0.008223684210526315,-0.0030277777777777833,0.2727272727272727
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,60,sell_ask,4,11,5967,46,0.003418803418803419,-0.009227272727272726,0.0
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,60,sell_ask,5,11,5970,58,0.003418803418803419,-0.001029411764705885,0.18181818181818182
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,300,buy_bid,1,11,5973,30,0.0018484288354898336,-0.0027083333333333347,0.09090909090909091
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,300,buy_bid,2,11,5967,35,0.0018248175182481751,-0.008510416666666664,0.18181818181818182
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,300,buy_bid,3,11,5966,28,0.001851851851851852,-0.01466428571428571,0.0
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,300,buy_bid,4,11,5967,8,0.0,,0.0
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,300,buy_bid,5,11,5970,12,0.0017094017094017094,,0.0
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,300,sell_ask,1,11,5973,29,0.0016420361247947454,-0.0024999999999999974,0.0
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,300,sell_ask,2,11,5967,47,0.006568144499178982,-0.0007196969696969709,0.18181818181818182
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,300,sell_ask,3,11,5966,57,0.008223684210526315,-0.0031944444444444507,0.18181818181818182
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,300,sell_ask,4,11,5967,46,0.003418803418803419,-0.00865909090909091,0.09090909090909091
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,300,sell_ask,5,11,5970,58,0.003418803418803419,-0.011194444444444448,0.0
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,900,buy_bid,1,11,5973,30,0.0018484288354898336,-0.011,0.0
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,900,buy_bid,2,11,5967,35,0.0018248175182481751,0.0036687500000000006,0.18181818181818182
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,900,buy_bid,3,11,5966,28,0.001851851851851852,-0.014049999999999993,0.09090909090909091
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,900,buy_bid,4,11,5967,8,0.0,,0.0
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,900,buy_bid,5,11,5970,12,0.0017094017094017094,,0.0
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,900,sell_ask,1,11,5973,29,0.0016420361247947454,0.00016666666666666566,0.18181818181818182
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,900,sell_ask,2,11,5967,47,0.006568144499178982,0.004291666666666667,0.2727272727272727
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,900,sell_ask,3,11,5966,57,0.008223684210526315,0.004250000000000002,0.36363636363636365
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,900,sell_ask,4,11,5967,46,0.003418803418803419,-0.006787878787878781,0.09090909090909091
highest-temperature-in-shanghai-on-june-10-2026,full_queue,60,900,sell_ask,5,11,5970,58,0.003418803418803419,-0.01280277777777777,0.09090909090909091
highest-temperature-in-shanghai-on-june-10-2026,full_queue,300,60,buy_bid,1,11,5973,146,0.012939001848428836,-5.519480519480466e-05,0.2727272727272727
highest-temperature-in-shanghai-on-june-10-2026,full_queue,300,60,buy_bid,2,11,5967,159,0.01155115511551155,-1.586032892321652e-17,0.2727272727272727
highest-temperature-in-shanghai-on-june-10-2026,full_queue,300,60,buy_bid,3,11,5966,88,0.00859106529209622,-0.0053139880952380964,0.18181818181818182
highest-temperature-in-shanghai-on-june-10-2026,full_queue,300,60,buy_bid,4,11,5967,34,0.0,-0.0028928571428571436,0.09090909090909091
highest-temperature-in-shanghai-on-june-10-2026,full_queue,300,60,buy_bid,5,11,5970,58,0.005128205128205128,-0.004285714285714282,0.0
highest-temperature-in-shanghai-on-june-10-2026,full_queue,300,60,sell_ask,1,11,5973,147,0.014787430683918669,-0.0006053511705685625,0.2727272727272727
highest-temperature-in-shanghai-on-june-10-2026,full_queue,300,60,sell_ask,2,11,5967,204,0.021346469622331693,-0.0017954911433172274,0.18181818181818182
highest-temperature-in-shanghai-on-june-10-2026,full_queue,300,60,sell_ask,3,11,5966,220,0.03076923076923077,-0.00395,0.2727272727272727
highest-temperature-in-shanghai-on-june-10-2026,full_queue,300,60,sell_ask,4,11,5967,199,0.023931623931623933,-0.004047619047619048,0.09090909090909091
highest-temperature-in-shanghai-on-june-10-2026,full_queue,300,60,sell_ask,5,11,5970,275,0.013675213675213675,-0.002245370370370367,0.09090909090909091
highest-temperature-in-shanghai-on-june-10-2026,full_queue,300,300,buy_bid,1,11,5973,146,0.012939001848428836,-0.002415584415584415,0.2727272727272727
highest-temperature-in-shanghai-on-june-10-2026,full_queue,300,300,buy_bid,2,11,5967,159,0.01155115511551155,-0.007142857142857141,0.2727272727272727
highest-temperature-in-shanghai-on-june-10-2026,full_queue,300,300,buy_bid,3,11,5966,88,0.00859106529209622,-0.00582440476190476,0.18181818181818182
highest-temperature-in-shanghai-on-june-10-2026,full_queue,300,300,buy_bid,4,11,5967,34,0.0,-0.001107142857142857,0.09090909090909091
highest-temperature-in-shanghai-on-june-10-2026,full_queue,300,300,buy_bid,5,11,5970,58,0.005128205128205128,-0.0025,0.09090909090909091
highest-temperature-in-shanghai-on-june-10-2026,full_queue,300,300,sell_ask,1,11,5973,147,0.014787430683918669,-0.002860576923076922,0.0
highest-temperature-in-shanghai-on-june-10-2026,full_queue,300,300,sell_ask,2,11,5967,204,0.021346469622331693,0.00017523056653491492,0.36363636363636365
highest-temperature-in-shanghai-on-june-10-2026,full_queue,300,300,sell_ask,3,11,5966,220,0.03076923076923077,-0.0049296875000000035,0.18181818181818182
highest-temperature-in-shanghai-on-june-10-2026,full_queue,300,300,sell_ask,4,11,5967,199,0.023931623931623933,-0.007991093366093369,0.09090909090909091
highest-temperature-in-shanghai-on-june-10-2026,full_queue,300,300,sell_ask,5,11,5970,275,0.013675213675213675,-0.005566401468788253,0.09090909090909091
highest-temperature-in-shanghai-on-june-10-2026,full_queue,300,900,buy_bid,1,11,5973,146,0.012939001848428836,-0.003445804195804196,0.2727272727272727
highest-temperature-in-shanghai-on-june-10-2026,full_queue,300,900,buy_bid,2,11,5967,159,0.01155115511551155,-0.0008624999999999993,0.2727272727272727
highest-temperature-in-shanghai-on-june-10-2026,full_queue,300,900,buy_bid,3,11,5966,88,0.00859106529209622,-0.005390625,0.18181818181818182
highest-temperature-in-shanghai-on-june-10-2026,full_queue,300,900,buy_bid,4,11,5967,34,0.0,-0.0049642857142857145,0.09090909090909091
