queue_model,queue_ahead_fraction,fill_window_seconds,markout_seconds,quote_side,token_metric_count,total_probes,total_fills,median_fill_rate,median_mean_markout,positive_markout_token_share,median_hit_rate,median_avg_win,median_avg_loss_abs,median_win_loss_ratio,adverse_selection_token_share
optimistic,0.0,60,60,buy_bid,22,11321,133,0.00618633109408015,0.00310267857142855,0.36363636363636365,0.8375,0.00604464285714285,0.01082142857142855,0.8785103785103787,0.13636363636363635
optimistic,0.0,60,60,sell_ask,22,11327,285,0.0171560497103389,0.0036971153846152996,0.5,0.7717121588089331,0.00938958810068645,0.0151333333333333,0.6367125199362044,0.45454545454545453
optimistic,0.0,60,60,strategy_tail_combined,44,22648,418,0.0069966209501093005,0.00334374999999995,0.4318181818181818,0.7829301075268817,0.0082744565217391,0.0148,0.6789473684210529,0.29545454545454547
optimistic,0.0,60,300,buy_bid,22,11321,133,0.00618633109408015,0.00434598214285705,0.36363636363636365,0.74375,0.014765625,0.0161538461538461,1.0258620689655202,0.13636363636363635
optimistic,0.0,60,300,sell_ask,22,11327,285,0.0171560497103389,0.00167372311827955,0.45454545454545453,0.6515151515151515,0.0107539682539682,0.012775,0.735309443642777,0.4090909090909091
optimistic,0.0,60,300,strategy_tail_combined,44,22648,418,0.0069966209501093005,0.0020260416666666,0.4090909090909091,0.6666666666666666,0.01217361111111105,0.0144999999999999,0.8264705882352947,0.2727272727272727
optimistic,0.0,60,900,buy_bid,22,11321,133,0.00618633109408015,0.0046071428571428,0.2727272727272727,0.6666666666666666,0.017,0.01241666666666665,1.9814734561213438,0.045454545454545456
optimistic,0.0,60,900,sell_ask,22,11327,285,0.0171560497103389,0.00314015151515145,0.36363636363636365,0.624633431085044,0.01324999999999995,0.02313124999999995,1.1353383458646618,0.22727272727272727
optimistic,0.0,60,900,strategy_tail_combined,44,22648,418,0.0069966209501093005,0.0033636363636363,0.3181818181818182,0.6363636363636364,0.014,0.020057291666666602,1.1808035714285712,0.13636363636363635
optimistic,0.0,300,60,buy_bid,22,11321,458,0.01743929359823395,0.0034999999999999,0.6363636363636364,0.8333333333333334,0.0050999999999999,0.0103425925925925,0.7723856209150328,0.3181818181818182
optimistic,0.0,300,60,sell_ask,22,11327,950,0.0459548892490545,0.0010571428571428,0.5454545454545454,0.7142857142857143,0.0068255813953488,0.01247499999999995,0.528112914776796,0.5909090909090909
optimistic,0.0,300,60,strategy_tail_combined,44,22648,1408,0.02460394190415495,0.00279349415204675,0.5909090909090909,0.7558361629881154,0.0056718749999999495,0.0103425925925925,0.5805465270254,0.45454545454545453
optimistic,0.0,300,300,buy_bid,22,11321,458,0.01743929359823395,0.0015350877192982,0.5454545454545454,0.7368421052631579,0.0077777777777777,0.011499999999999951,0.9208965255252624,0.3181818181818182
optimistic,0.0,300,300,sell_ask,22,11327,950,0.0459548892490545,0.0005428571428571,0.45454545454545453,0.631578947368421,0.0087142857142857,0.011650793650793599,0.583728367415363,0.5454545454545454
optimistic,0.0,300,300,strategy_tail_combined,44,22648,1408,0.02460394190415495,0.0012077612509534001,0.5,0.6449490662139219,0.0082460317460317,0.011650793650793599,0.7058938292246675,0.4318181818181818
optimistic,0.0,300,900,buy_bid,22,11321,458,0.01743929359823395,0.0029962121212121,0.45454545454545453,0.6833333333333333,0.009619897959183651,0.01170833333333325,1.4445194979400195,0.13636363636363635
optimistic,0.0,300,900,sell_ask,22,11327,950,0.0459548892490545,0.0005416666666666,0.45454545454545453,0.5909090909090909,0.0113499999999999,0.014519230769230701,0.725390097038946,0.45454545454545453
optimistic,0.0,300,900,strategy_tail_combined,44,22648,1408,0.02460394190415495,0.0011,0.45454545454545453,0.6129032258064516,0.0106025641025641,0.01183152173913035,0.9924788135593219,0.29545454545454547
half_queue,0.5,60,60,buy_bid,22,11321,32,0.0016611479028697,0.0059090909090909,0.045454545454545456,0.5454545454545454,0.0149999999999999,0.0083333333333333,1.7999999999999974,0.0
half_queue,0.5,60,60,sell_ask,22,11327,116,0.00501789237050965,0.0009,0.22727272727272727,0.625,0.0076,0.0156249999999999,0.4864000000000023,0.3181818181818182
half_queue,0.5,60,60,strategy_tail_combined,44,22648,148,0.0018169636079187002,0.0012937499999999499,0.13636363636363635,0.5982142857142857,0.00879999999999995,0.0154791666666666,0.524450000000001,0.1590909090909091
half_queue,0.5,60,300,buy_bid,22,11321,32,0.0016611479028697,0.0013636363636363,0.045454545454545456,0.5454545454545454,0.0166666666666666,0.0169999999999999,0.9803921568627452,0.045454545454545456
half_queue,0.5,60,300,sell_ask,22,11327,116,0.00501789237050965,0.0008333333333333,0.22727272727272727,0.5,0.0139,0.0158333333333333,0.9477272727272728,0.22727272727272727
half_queue,0.5,60,300,strategy_tail_combined,44,22648,148,0.0018169636079187002,0.0010984848484848,0.13636363636363635,0.5227272727272727,0.01516875,0.0164166666666666,0.964059714795009,0.13636363636363635
half_queue,0.5,60,900,buy_bid,22,11321,32,0.0016611479028697,-0.0059090909090909,0.0,0.4545454545454545,0.0169999999999999,0.0249999999999999,0.68,0.045454545454545456
half_queue,0.5,60,900,sell_ask,22,11327,116,0.00501789237050965,-0.0035624999999999,0.18181818181818182,0.5,0.0163,0.028090909090909,0.6273584905660381,0.22727272727272727
half_queue,0.5,60,900,strategy_tail_combined,44,22648,148,0.0018169636079187002,-0.0047357954545454006,0.09090909090909091,0.47727272727272724,0.01664999999999995,0.0271287878787878,0.6536792452830191,0.13636363636363635
half_queue,0.5,300,60,buy_bid,22,11321,119,0.006757467769779649,-0.0023461538461538,0.09090909090909091,0.4495192307692307,0.0044285714285714,0.0154375,0.32634164777021923,0.2727272727272727
half_queue,0.5,300,60,sell_ask,22,11327,471,0.0268112701252236,-0.0001666666666666,0.3181818181818182,0.5454545454545454,0.00625,0.011046875000000001,0.48498677248677236,0.5909090909090909
half_queue,0.5,300,60,strategy_tail_combined,44,22648,590,0.00844748858447485,-0.00103125,0.20454545454545456,0.5357142857142857,0.00491666666666665,0.0149999999999999,0.3766061980347694,0.4318181818181818
half_queue,0.5,300,300,buy_bid,22,11321,119,0.006757467769779649,-0.002175,0.13636363636363635,0.35416666666666663,0.0138461538461538,0.0128,1.2118400025226954,0.13636363636363635
half_queue,0.5,300,300,sell_ask,22,11327,471,0.0268112701252236,-0.0013717948717948,0.18181818181818182,0.4210526315789473,0.00746875,0.01370258620689655,0.7280080705332007,0.5454545454545454
half_queue,0.5,300,300,strategy_tail_combined,44,22648,590,0.00844748858447485,-0.0019,0.1590909090909091,0.4,0.00756129807692305,0.0128,0.7280080705332007,0.3409090909090909
half_queue,0.5,300,900,buy_bid,22,11321,119,0.006757467769779649,0.0005,0.18181818181818182,0.3125,0.02119444444444435,0.01574999999999995,1.6592592592592568,0.09090909090909091
half_queue,0.5,300,900,sell_ask,22,11327,471,0.0268112701252236,6.666666666666588e-05,0.36363636363636365,0.4605263157894737,0.0097045454545454,0.012782142857142801,0.7663783482142856,0.4090909090909091
half_queue,0.5,300,900,strategy_tail_combined,44,22648,590,0.00844748858447485,0.0002833333333333329,0.2727272727272727,0.4415584415584415,0.0128333333333333,0.014999999999999951,0.8613281249999997,0.25
full_queue,1.0,60,60,buy_bid,22,11321,16,0.0,,0.0,,,,,0.0
full_queue,1.0,60,60,sell_ask,22,11327,64,0.00260888783543985,-0.001,0.13636363636363635,0.5714285714285714,0.00675,0.0156249999999999,0.866666666666665,0.22727272727272727
full_queue,1.0,60,60,strategy_tail_combined,44,22648,80,0.0015749437608664498,-0.001,0.06818181818181818,0.5714285714285714,0.00675,0.0156249999999999,0.866666666666665,0.11363636363636363
full_queue,1.0,60,300,buy_bid,22,11321,16,0.0,,0.0,,,,,0.0
