event_slug,event_title,event_start,event_end,market_index,market_label,condition_id,asset_id,token_side,probe_rows,trade_rows,median_spread,median_depth_imbalance_1,source_time_inversion_count,source_delay_over_threshold_count
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,283,1,0.002,-0.9601901366607248,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,1,19°C,0xe9270a0ad0e9215e2249b5573f8e1e40b39e76d19b45ded06aa4c0faeae9b9a8,74502948617169463266911772205376938956442075011044734712645525624423814463171,YES,420,3,0.007,0.2546583850931677,5720,8248
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,2,20°C,0xe692a6f51125cf6914c090f8e01ecf1491030ed0ad775156b7dea9ed74099392,29363478216105628907851761749240280974313606434750483239415068662725185057677,YES,1697,6,0.003,0.21568627450980393,14386,31089
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,3,21°C,0x4b71fc3b2d6d0a5a6d4a3c57a66f3b7c0a70049d1bd8fb47fdb985ca5e42a0e7,32958582433402594997678224016035388842620018324746531711463337433683768535571,YES,2527,7,0.004,0.5614035087719298,19359,47884
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,4,22°C,0x5e9cdf0acfadf1d761629c3e824f608b4c8abda66747f716816cd21a6ef44b02,21885399021320574560651114684216824442350810668622956886293663194490254187234,YES,2709,92,0.016,0.037571347926989865,31457,90049
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,5,23°C,0xc6e48d3b9fb338a583851f46245eeb5d016d1c7db5325bc711b47592d44dea31,88280062208897936928474997251824304255619443393959943341817445415105690345219,YES,2905,477,0.020000000000000004,0.14145464601769908,64988,172368
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,6,24°C,0x09e1e10495f1dbb1948b63ad02a4af9f59a0401dde53ec713e5105d75eefe748,24582299336321328719263949980519370081553878495528020204195731783368989713817,YES,2922,392,0.010000000000000009,0.0007053844345168384,95517,218452
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,7,25°C,0x715ee73ffee65801adb9f51098cf61a14fb4262ae2b20eeb1d68528bdde59c41,93683348120137447419301462197228170067558545967622008841151707439369216600718,YES,3204,617,0.020000000000000018,0.27629287934458174,89057,177530
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,8,26°C,0x2488923e3cccb1742f4a230dfe8d79f6add52e0807b81809f1cd1e33028d03c1,84036100857155819931728194506958678774155362425129625655151905448772883585970,YES,3143,368,0.020000000000000004,0.3192012288786482,79714,172674
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,9,27°C,0x15a54d2d69dbe4ba0be84b4be5d634bcd81fb2659e4c211167ce7345c0f29ef7,8027430777184882285423173626503131257499585722975011528474150083679962657468,YES,3066,233,0.007000000000000006,0.44230769230769224,33984,80865
