event_slug,horizon_seconds,token_count,tokens_with_ic,event_equal_token_ic,positive_token_share,event_equal_nonzero_hit_rate,event_equal_top_minus_bottom
highest-temperature-in-ankara-on-june-4-2026,30,11,9,0.08518629542156543,0.7777777777777778,0.6580123626248583,0.0014777194502981
highest-temperature-in-ankara-on-june-4-2026,120,11,9,0.08244054054050635,0.7777777777777778,0.6652477453942819,0.0018435867374096337
highest-temperature-in-ankara-on-june-4-2026,600,11,9,0.08597689274196235,0.6666666666666666,0.6605482815881593,0.001552758785916651
highest-temperature-in-cape-town-on-june-4-2026,30,11,8,0.07067550304539898,0.875,0.5872488695494873,0.0011025192673246665
highest-temperature-in-cape-town-on-june-4-2026,120,11,8,0.11351043261561791,0.875,0.5880121474025792,0.0011778173324173715
highest-temperature-in-cape-town-on-june-4-2026,600,11,8,0.19686024914202466,1.0,0.5841893646952974,0.0002691401852855605
highest-temperature-in-chicago-on-june-4-2026,30,11,1,-0.06259697425726443,0.0,0.0,-1.6778523489932886e-06
highest-temperature-in-chicago-on-june-4-2026,120,11,1,-0.03134591375532011,0.0,0.36363636363636365,-4.901960784313726e-06
highest-temperature-in-chicago-on-june-4-2026,600,11,1,0.12052132982979545,1.0,0.8,9.803921568627451e-06
highest-temperature-in-denver-on-june-4-2026,30,11,2,0.32002791910768863,1.0,1.0,0.00020005703774077701
highest-temperature-in-denver-on-june-4-2026,120,11,2,0.35394075058197794,1.0,1.0,0.0002329610255182812
highest-temperature-in-denver-on-june-4-2026,600,11,2,0.47343988454742314,1.0,1.0,0.0005489614367244554
highest-temperature-in-hong-kong-on-june-4-2026,30,11,5,0.06892932779125946,0.8,0.5163161373362989,0.00295680494325684
highest-temperature-in-hong-kong-on-june-4-2026,120,11,5,0.1259371915482552,0.8,0.5520846043657784,0.004920513622661496
highest-temperature-in-hong-kong-on-june-4-2026,600,11,5,0.13106198579688796,0.8,0.5555546202752613,0.00740906468884168
highest-temperature-in-lucknow-on-june-4-2026,30,11,3,0.08909796908227181,1.0,0.553818425353099,0.00015042250219145063
highest-temperature-in-lucknow-on-june-4-2026,120,11,3,0.11734985481866889,1.0,0.5541953690706184,0.00011083489286697116
highest-temperature-in-lucknow-on-june-4-2026,600,11,3,0.031161200915904963,0.6666666666666666,0.5297905048966179,0.00021910436132767052
highest-temperature-in-mexico-city-on-june-4-2026,30,11,8,0.12403486372752454,0.875,0.6120120960101434,0.0008466685031692635
highest-temperature-in-mexico-city-on-june-4-2026,120,11,8,0.10569335153328077,0.75,0.5680880328407429,0.0013477596419404687
highest-temperature-in-mexico-city-on-june-4-2026,600,11,8,0.13409523782425256,0.875,0.5066406024607204,0.0033364198966394625
highest-temperature-in-panama-city-on-june-4-2026,30,11,6,0.12632403742276768,1.0,0.575308779739958,0.0011998623481030313
highest-temperature-in-panama-city-on-june-4-2026,120,11,6,0.13195879744610903,0.8333333333333334,0.6115055438460288,0.0014732908388747378
highest-temperature-in-panama-city-on-june-4-2026,600,11,6,0.17561676054463146,0.8333333333333334,0.6372983345668749,0.003502274378342198
highest-temperature-in-sao-paulo-on-june-4-2026,30,11,8,0.06672409515703193,0.875,0.5701545420898948,0.000652317627963321
highest-temperature-in-sao-paulo-on-june-4-2026,120,11,8,0.07286369699806726,0.75,0.5729097253312218,0.0012468938655960913
highest-temperature-in-sao-paulo-on-june-4-2026,600,11,8,0.10265722235317407,0.75,0.5972332914244195,0.0028274401572029903
highest-temperature-in-seattle-on-june-4-2026,30,11,11,0.0883966964490519,0.8181818181818182,0.5288464899931656,0.0004132966191864025
highest-temperature-in-seattle-on-june-4-2026,120,11,11,0.10953908769283588,0.9090909090909091,0.5619080912188378,0.0007466639760572074
highest-temperature-in-seattle-on-june-4-2026,600,11,11,0.18221970542584537,0.8181818181818182,0.5964837115547024,0.0025515564453062653
