event_slug,market_label,token_id,factor,horizon_seconds,valid_rows,nonzero_rows,spearman_ic,nonzero_hit_rate,average_win_move,average_loss_move,zero_return_share,top_minus_bottom
highest-temperature-in-chicago-on-june-4-2026,47°F or below,90126329302086190846098290501947516698603202176436371691446950377026992913400,depth_imbalance_1,30,633,1,-0.06259697425726443,0.0,,0.0005,0.9984202211690363,-3.3557046979865773e-06
highest-temperature-in-chicago-on-june-4-2026,47°F or below,90126329302086190846098290501947516698603202176436371691446950377026992913400,depth_imbalance_1,120,626,11,-0.03134591375532011,0.36363636363636365,0.0005,0.0005,0.9824281150159745,-9.803921568627451e-06
highest-temperature-in-chicago-on-june-4-2026,47°F or below,90126329302086190846098290501947516698603202176436371691446950377026992913400,depth_imbalance_1,600,594,5,0.12052132982979545,0.8,0.0005,0.0005,0.9915824915824916,9.803921568627451e-06
highest-temperature-in-chicago-on-june-4-2026,48-49°F,4877609936425713822930097153010993333233601026535604151368910250100675228935,depth_imbalance_1,30,0,0,,,,,,
highest-temperature-in-chicago-on-june-4-2026,48-49°F,4877609936425713822930097153010993333233601026535604151368910250100675228935,depth_imbalance_1,120,0,0,,,,,,
highest-temperature-in-chicago-on-june-4-2026,48-49°F,4877609936425713822930097153010993333233601026535604151368910250100675228935,depth_imbalance_1,600,0,0,,,,,,
highest-temperature-in-chicago-on-june-4-2026,50-51°F,17554745367701016628065620828272696006720481989896397006850503788642798144353,depth_imbalance_1,30,0,0,,,,,,
highest-temperature-in-chicago-on-june-4-2026,50-51°F,17554745367701016628065620828272696006720481989896397006850503788642798144353,depth_imbalance_1,120,0,0,,,,,,
highest-temperature-in-chicago-on-june-4-2026,50-51°F,17554745367701016628065620828272696006720481989896397006850503788642798144353,depth_imbalance_1,600,0,0,,,,,,
highest-temperature-in-chicago-on-june-4-2026,52-53°F,12738821075901198025772292753201692095531770473287869188854006082644067178718,depth_imbalance_1,30,0,0,,,,,,
highest-temperature-in-chicago-on-june-4-2026,52-53°F,12738821075901198025772292753201692095531770473287869188854006082644067178718,depth_imbalance_1,120,0,0,,,,,,
highest-temperature-in-chicago-on-june-4-2026,52-53°F,12738821075901198025772292753201692095531770473287869188854006082644067178718,depth_imbalance_1,600,0,0,,,,,,
highest-temperature-in-chicago-on-june-4-2026,54-55°F,17730986904744483119203608344014674290790580519740887310514669372175030364425,depth_imbalance_1,30,0,0,,,,,,
highest-temperature-in-chicago-on-june-4-2026,54-55°F,17730986904744483119203608344014674290790580519740887310514669372175030364425,depth_imbalance_1,120,0,0,,,,,,
highest-temperature-in-chicago-on-june-4-2026,54-55°F,17730986904744483119203608344014674290790580519740887310514669372175030364425,depth_imbalance_1,600,0,0,,,,,,
highest-temperature-in-chicago-on-june-4-2026,56-57°F,78247903714633128829461995988104844650572528143123308247754936492821768522473,depth_imbalance_1,30,0,0,,,,,,
highest-temperature-in-chicago-on-june-4-2026,56-57°F,78247903714633128829461995988104844650572528143123308247754936492821768522473,depth_imbalance_1,120,0,0,,,,,,
highest-temperature-in-chicago-on-june-4-2026,56-57°F,78247903714633128829461995988104844650572528143123308247754936492821768522473,depth_imbalance_1,600,0,0,,,,,,
highest-temperature-in-chicago-on-june-4-2026,58-59°F,114156668586710007473879367692997387568439607159453395447031994568895883234908,depth_imbalance_1,30,0,0,,,,,,
highest-temperature-in-chicago-on-june-4-2026,58-59°F,114156668586710007473879367692997387568439607159453395447031994568895883234908,depth_imbalance_1,120,0,0,,,,,,
highest-temperature-in-chicago-on-june-4-2026,58-59°F,114156668586710007473879367692997387568439607159453395447031994568895883234908,depth_imbalance_1,600,0,0,,,,,,
highest-temperature-in-chicago-on-june-4-2026,60-61°F,23722718602475245947500368713659219961003286363625560647207172138511101007079,depth_imbalance_1,30,0,0,,,,,,
highest-temperature-in-chicago-on-june-4-2026,60-61°F,23722718602475245947500368713659219961003286363625560647207172138511101007079,depth_imbalance_1,120,0,0,,,,,,
highest-temperature-in-chicago-on-june-4-2026,60-61°F,23722718602475245947500368713659219961003286363625560647207172138511101007079,depth_imbalance_1,600,0,0,,,,,,
highest-temperature-in-chicago-on-june-4-2026,62-63°F,63044105540633836862156792410035100962681360438969365312412104565919167601367,depth_imbalance_1,30,0,0,,,,,,
highest-temperature-in-chicago-on-june-4-2026,62-63°F,63044105540633836862156792410035100962681360438969365312412104565919167601367,depth_imbalance_1,120,0,0,,,,,,
highest-temperature-in-chicago-on-june-4-2026,62-63°F,63044105540633836862156792410035100962681360438969365312412104565919167601367,depth_imbalance_1,600,0,0,,,,,,
highest-temperature-in-chicago-on-june-4-2026,64-65°F,2294956154852470500756010884118231075253045769641303858862693590486269407877,depth_imbalance_1,30,0,0,,,,,,
highest-temperature-in-chicago-on-june-4-2026,64-65°F,2294956154852470500756010884118231075253045769641303858862693590486269407877,depth_imbalance_1,120,0,0,,,,,,
