event_slug,horizon_seconds,token_count,tokens_with_ic,event_equal_token_ic,positive_token_share,event_equal_nonzero_hit_rate,event_equal_top_minus_bottom
highest-temperature-in-beijing-on-june-6-2026,30,11,11,0.04746409502709073,0.7272727272727273,0.5526283639733504,0.00017324050316355318
highest-temperature-in-beijing-on-june-6-2026,120,11,11,0.0899479602474746,0.7272727272727273,0.5500102119645,0.0004454046244725511
highest-temperature-in-beijing-on-june-6-2026,600,11,11,0.20573539115620895,1.0,0.6006012367290325,0.0013274737222062191
highest-temperature-in-busan-on-june-6-2026,30,11,11,0.051043712265043235,0.8181818181818182,0.5848562352984767,0.0005020838503933798
highest-temperature-in-busan-on-june-6-2026,120,11,11,0.05177766635388376,0.8181818181818182,0.5655301859393334,0.0008360099326935371
highest-temperature-in-busan-on-june-6-2026,600,11,11,0.08641219321367134,0.9090909090909091,0.5675179600278023,0.0037834090734417663
highest-temperature-in-jeddah-on-june-10-2026,30,11,11,0.10459461738750096,0.9090909090909091,0.6184589027963185,8.394998858458493e-05
highest-temperature-in-jeddah-on-june-10-2026,120,11,11,0.1001824869400699,0.9090909090909091,0.5848812459412338,7.723421709571612e-05
highest-temperature-in-jeddah-on-june-10-2026,600,11,11,0.0590617231421531,0.5454545454545454,0.5130585655393887,-3.2583590904058475e-05
highest-temperature-in-karachi-on-june-6-2026,30,11,11,0.04832782698890796,0.7272727272727273,0.5170802364227757,0.00044631993413988587
highest-temperature-in-karachi-on-june-6-2026,120,11,11,0.050216255564383645,0.7272727272727273,0.5011271098417059,0.0008669893634866601
highest-temperature-in-karachi-on-june-6-2026,600,11,11,0.012295885526975036,0.5454545454545454,0.45891794787505374,0.0008558270109803148
highest-temperature-in-karachi-on-june-7-2026,30,11,11,0.06959425680096949,0.8181818181818182,0.6047162175815017,0.00040712312475287005
highest-temperature-in-karachi-on-june-7-2026,120,11,11,0.0680051525327675,0.8181818181818182,0.5936417610670631,0.0005782153566134382
highest-temperature-in-karachi-on-june-7-2026,600,11,11,0.09371842093573664,0.9090909090909091,0.5678746882987059,0.0018637520590876295
highest-temperature-in-qingdao-on-june-6-2026,30,11,11,0.05427716092432144,0.9090909090909091,0.5137593254454449,0.0014258880553895486
highest-temperature-in-qingdao-on-june-6-2026,120,11,11,0.06149652770172262,0.7272727272727273,0.49757827183272424,0.0015770876814741061
highest-temperature-in-qingdao-on-june-6-2026,600,11,11,0.07220396414465231,0.9090909090909091,0.5074551591540092,0.0017462011290473637
highest-temperature-in-shenzhen-on-june-6-2026,30,11,11,0.07169333349901331,0.8181818181818182,0.5832631881379844,-0.001055699092152785
highest-temperature-in-shenzhen-on-june-6-2026,120,11,11,0.07805129773841242,0.9090909090909091,0.5707175577737408,-0.002206740003829613
highest-temperature-in-shenzhen-on-june-6-2026,600,11,11,0.12172669182661919,0.9090909090909091,0.5794223804005894,-0.003018173129669577
highest-temperature-in-singapore-on-june-6-2026,30,11,11,0.0714502723194011,0.8181818181818182,0.6064011712592976,-0.03161609130736726
highest-temperature-in-singapore-on-june-6-2026,120,11,11,0.062098712330247795,0.7272727272727273,0.5957016602392764,-0.03588969431413589
highest-temperature-in-singapore-on-june-6-2026,600,11,10,0.10748160315232909,0.8,0.5654259560818149,0.004140477573580073
highest-temperature-in-taipei-on-june-6-2026,30,11,11,0.12882023929865796,1.0,0.6017391032408074,0.0015236944416753167
highest-temperature-in-taipei-on-june-6-2026,120,11,11,0.1553585728046364,1.0,0.6031386922228325,0.003995267443505445
highest-temperature-in-taipei-on-june-6-2026,600,11,11,0.1793144004090609,0.9090909090909091,0.592811543922182,0.010531565228749122
highest-temperature-in-wuhan-on-june-6-2026,30,11,11,0.048723076107067234,0.8181818181818182,0.5313574840035756,0.0013316243616169933
highest-temperature-in-wuhan-on-june-6-2026,120,11,11,0.0468405686718918,0.7272727272727273,0.5009114862208324,0.00035137741243330755
highest-temperature-in-wuhan-on-june-6-2026,600,11,11,0.04761541873207489,0.5454545454545454,0.5311601831025244,0.001812480712799195
