event_slug,market_label,token_id,factor,horizon_seconds,valid_rows,nonzero_rows,spearman_ic,nonzero_hit_rate,average_win_move,average_loss_move,zero_return_share,top_minus_bottom
highest-temperature-in-karachi-on-june-6-2026,31°C or below,62627295587472152931851736943375875103849292447805082671578463541905186507048,depth_imbalance_1,30,15232,134,-0.013480349442979503,0.31343283582089554,0.0004999999999999999,0.0008478260869565219,0.991202731092437,2.4785939612438056e-06
highest-temperature-in-karachi-on-june-6-2026,31°C or below,62627295587472152931851736943375875103849292447805082671578463541905186507048,depth_imbalance_1,120,15147,274,-0.01079907646922282,0.33941605839416056,0.0005000000000000001,0.0008618784530386742,0.9819106093615898,8.433200177541064e-06
highest-temperature-in-karachi-on-june-6-2026,31°C or below,62627295587472152931851736943375875103849292447805082671578463541905186507048,depth_imbalance_1,600,14649,809,0.06981431155829926,0.4338689740420272,0.0005000000000000003,0.0010043668122270747,0.9436138985596286,7.11970526621848e-05
highest-temperature-in-karachi-on-june-6-2026,32°C,1957884236593051835620931556279079959336980825496729191119258182273333631172,depth_imbalance_1,30,19924,1327,0.08526786631327633,0.6586284853051997,0.0011824942791762018,0.0013664459161147906,0.9333969082513551,0.00010093232009574638
highest-temperature-in-karachi-on-june-6-2026,32°C,1957884236593051835620931556279079959336980825496729191119258182273333631172,depth_imbalance_1,120,19847,2341,0.08239791296545243,0.6074327210593763,0.0011828410689170188,0.0014575625680087053,0.8819972791857712,0.00014686998795324473
highest-temperature-in-karachi-on-june-6-2026,32°C,1957884236593051835620931556279079959336980825496729191119258182273333631172,depth_imbalance_1,600,19689,4208,-0.025367049126114344,0.4612642585551331,0.0015012879958784138,0.001966034406704896,0.7847529077149678,-3.557544990967509e-06
highest-temperature-in-karachi-on-june-6-2026,33°C,18524157911280247782361029893962960609584522583982706668452184084972193656581,depth_imbalance_1,30,40273,12433,0.17876272142927233,0.7057025657524331,0.001312685206291315,0.001159469800491938,0.6700270652794676,0.00038909518264776855
highest-temperature-in-karachi-on-june-6-2026,33°C,18524157911280247782361029893962960609584522583982706668452184084972193656581,depth_imbalance_1,120,40102,15337,0.19105891662257637,0.6762078633370281,0.0015296981968951882,0.001590414820781313,0.5915415689990524,0.000837971526530626
highest-temperature-in-karachi-on-june-6-2026,33°C,18524157911280247782361029893962960609584522583982706668452184084972193656581,depth_imbalance_1,600,40224,20950,0.1526009276059917,0.5852028639618139,0.002629649265905384,0.00271795166858458,0.4428699284009546,0.0022057832170295864
highest-temperature-in-karachi-on-june-6-2026,34°C,38955120656268051092530694001191686909340431348167741391667733487860291662116,depth_imbalance_1,30,44672,20724,-0.0013439770586643489,0.4722543910442,0.005563400429140697,0.006592895675230869,0.5229450214899714,-0.0006827318366309301
highest-temperature-in-karachi-on-june-6-2026,34°C,38955120656268051092530694001191686909340431348167741391667733487860291662116,depth_imbalance_1,120,44669,24371,-0.03173297992600114,0.45373599770218703,0.006514604810996564,0.006299106136858711,0.4403501309633079,-0.00027645651075542267
highest-temperature-in-karachi-on-june-6-2026,34°C,38955120656268051092530694001191686909340431348167741391667733487860291662116,depth_imbalance_1,600,44569,27609,-0.0598972516966208,0.43007714875584047,0.0089748189321206,0.007010168414362887,0.3650968161726761,0.00012069053132116091
highest-temperature-in-karachi-on-june-6-2026,35°C,69827836514431739945532572965657882881140430660377981126645659733299929054239,depth_imbalance_1,30,72745,37457,0.15201247729000888,0.5744453640174066,0.016725728493749124,0.016010100376411537,0.47515293147295345,0.006334363226496661
highest-temperature-in-karachi-on-june-6-2026,35°C,69827836514431739945532572965657882881140430660377981126645659733299929054239,depth_imbalance_1,120,72592,47019,0.16165952899103583,0.5679831557455497,0.01811669662248184,0.017910254516811892,0.33947266916464625,0.008694288747839264
highest-temperature-in-karachi-on-june-6-2026,35°C,69827836514431739945532572965657882881140430660377981126645659733299929054239,depth_imbalance_1,600,71880,56675,0.18587680358700995,0.5378561976179973,0.028222091001541837,0.026052859651802072,0.1971480244852532,0.013976692688884747
highest-temperature-in-karachi-on-june-6-2026,36°C,46118138055365674965292122197580001947203844697583524623144926083483223278129,depth_imbalance_1,30,80992,29420,0.009307875774751943,0.5148198504418763,0.01875148554073683,0.021684110970996217,0.6254691821414461,-0.002229922193052347
highest-temperature-in-karachi-on-june-6-2026,36°C,46118138055365674965292122197580001947203844697583524623144926083483223278129,depth_imbalance_1,120,80945,39233,0.036625357792409184,0.539112481839268,0.023572998912580967,0.025926390885963945,0.5036629810365063,-0.0020558719662795598
highest-temperature-in-karachi-on-june-6-2026,36°C,46118138055365674965292122197580001947203844697583524623144926083483223278129,depth_imbalance_1,600,80781,50506,-0.033570733230383114,0.5015839702213598,0.03382931354359926,0.03974313748857904,0.3624490907515381,-0.011737410611132235
highest-temperature-in-karachi-on-june-6-2026,37°C,38160168879389312787245560659437158720043276330081140380097886723129908215886,depth_imbalance_1,30,70226,20986,0.12421305522576384,0.609072715143429,0.009198599593177904,0.009591906387128228,0.6884914419160995,0.0006618641916456407
highest-temperature-in-karachi-on-june-6-2026,37°C,38160168879389312787245560659437158720043276330081140380097886723129908215886,depth_imbalance_1,120,70178,29705,0.10963059452965068,0.5751893620602592,0.013208504038394006,0.012025635945796023,0.5591353415600331,0.0012838283136116806
