event_slug,city,event_date,cohort,sample_activity,token_id,factor,horizon_seconds,lifecycle_bucket,rows,valid_rows,coverage,zero_rate,ic,crossing_markout
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,depth_imbalance_1,30,all,18121,17991,0.992826002979968,0.950308487577122,0.0074877631607677,-0.0017251403479517
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,depth_imbalance_1,30,6-24h,12120,12007,0.9906765676567656,0.9518614141750644,0.0601882877657364,-0.001027567252436
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,depth_imbalance_1,30,>24h,6001,5984,0.9971671388101984,0.947192513368984,-0.0211679017921993,-0.0031248328877005
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,depth_imbalance_1,60,all,18121,17833,0.984106837371006,0.9299052318734928,-0.0411192742152082,-0.0017007794538215
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,depth_imbalance_1,60,6-24h,12120,11864,0.9788778877887788,0.9286918408631152,-0.0513883442999124,-0.0010184592043155
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,depth_imbalance_1,60,>24h,6001,5969,0.994667555407432,0.9323169710169208,-0.0668491106389217,-0.0030569609649857
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,depth_imbalance_1,120,all,18121,17581,0.9702003200706364,0.9072293953700016,-0.0382002852310055,-0.0016813321199021
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,depth_imbalance_1,120,6-24h,12120,11625,0.959158415841584,0.9085591397849464,0.0050210099836196,-0.0010151827956989
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,depth_imbalance_1,120,>24h,6001,5956,0.9925012497917014,0.9046339825386164,-0.0991262806974189,-0.0029815312290127
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,depth_imbalance_1,300,all,18121,17332,0.956459356547652,0.892222478652204,0.0230787561043428,-0.0016793503346411
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,depth_imbalance_1,300,6-24h,12120,11379,0.9388613861386138,0.9031549345285176,0.1541091655427634,-0.0010093593461639
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,depth_imbalance_1,300,>24h,6001,5953,0.992001333111148,0.8713253821602553,-0.1200960343434997,-0.0029600201579035
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,depth_imbalance_1,600,all,18121,17121,0.9448154075382154,0.8634425559254716,0.0074300475242664,-0.0016754570410606
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,depth_imbalance_1,600,6-24h,12120,11176,0.922112211221122,0.9011274158911954,0.1812381467752377,-0.001009842519685
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,depth_imbalance_1,600,>24h,6001,5945,0.9906682219630062,0.7925988225399495,-0.0787719383022749,-0.0029267451640033
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,depth_imbalance_1,900,all,18121,16968,0.9363721648915624,0.8182461103253182,0.0569230263062775,-0.0016458038661008
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,depth_imbalance_1,900,6-24h,12120,11066,0.913036303630363,0.8500813302006145,0.1125326411143728,-0.0009793511657328
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,depth_imbalance_1,900,>24h,6001,5902,0.983502749541743,0.7585564215520163,-0.0186952744180419,-0.0028953744493392
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,microprice_minus_mid,30,all,18121,17991,0.992826002979968,0.950308487577122,0.0438124298275782,-0.0017251403479517
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,microprice_minus_mid,30,6-24h,12120,12007,0.9906765676567656,0.9518614141750644,0.0613392706957886,-0.001027567252436
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,microprice_minus_mid,30,>24h,6001,5984,0.9971671388101984,0.947192513368984,0.0089347204186321,-0.0031248328877005
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,microprice_minus_mid,60,all,18121,17833,0.984106837371006,0.9299052318734928,-0.0072034391827724,-0.0017007794538215
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,microprice_minus_mid,60,6-24h,12120,11864,0.9788778877887788,0.9286918408631152,-0.0505699425246185,-0.0010184592043155
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,microprice_minus_mid,60,>24h,6001,5969,0.994667555407432,0.9323169710169208,-0.0374289583852234,-0.0030569609649857
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,microprice_minus_mid,120,all,18121,17581,0.9702003200706364,0.9072293953700016,-0.0047770692459539,-0.0016813321199021
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,microprice_minus_mid,120,6-24h,12120,11625,0.959158415841584,0.9085591397849464,0.0058223083496235,-0.0010151827956989
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,microprice_minus_mid,120,>24h,6001,5956,0.9925012497917014,0.9046339825386164,-0.095065141895718,-0.0029815312290127
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,microprice_minus_mid,300,all,18121,17332,0.956459356547652,0.892222478652204,0.0578775153957357,-0.0016793503346411
