event_slug,city,event_date,cohort,factor,horizon_seconds,lifecycle_bucket,ic,zero_rate,crossing_markout,coverage,tokens
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,30,6-24h,0.06071407855564075,0.7473740145237646,-0.010537933420755466,0.9969976433168782,9
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,30,>24h,0.04347037650097261,0.8496508653441491,-0.0064200112463881995,0.9995631502928568,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,30,all,0.041964486686971676,0.8101556167628668,-0.008073583870053436,0.9982386230561271,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,60,6-24h,0.07651789324167096,0.7078243280339864,-0.010457393406747055,0.995552856600118,9
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,60,>24h,0.053549681697349395,0.8146749302815114,-0.006344185569325672,0.9992756422163585,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,60,all,0.05136047531307075,0.7749629637576695,-0.007999213654229982,0.9973805661793562,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,120,6-24h,0.08605587084885374,0.6682019829420418,-0.010300373582174034,0.9935478095857871,9
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,120,>24h,0.0757453011284695,0.7690794484382665,-0.006240480474234918,0.9989866275102159,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,120,all,0.06406832907257551,0.7346873775858427,-0.007866742715634346,0.9961788971488992,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,300,6-24h,0.11851647025381078,0.5908764098609706,-0.0101994910376,0.9861811452749352,9
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,300,>24h,0.08930188446753436,0.6832066907780372,-0.006094527652410391,0.9986065876307254,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,300,all,0.07129144778198199,0.6581777358734783,-0.007753492781973537,0.9921854961358455,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,600,6-24h,0.14113619923565315,0.5254750484198438,-0.010113271626401956,0.9805723506005491,9
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,600,>24h,0.1171905659682662,0.6044568214461686,-0.006010338565062292,0.993187527031949,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,600,all,0.0969957508353684,0.5880054659222614,-0.007668167319434891,0.987219355819225,11
