factor,horizon_seconds,events,median_event_ic,positive_event_rate,coverage,zero_rate
bid_ask_liquidity_asymmetry,30,6,0.05469453437412981,1.0,0.995371428500509,0.7629421417348047
bid_ask_liquidity_asymmetry,120,6,0.06103193542983805,1.0,0.9882664145396639,0.6706570514095181
bid_ask_liquidity_asymmetry,600,6,0.07070639607577586,1.0,0.9722961866309104,0.5292373633674026
depth_concentration,30,6,0.0017759731218078554,0.6666666666666666,0.995371428500509,0.7629421417348047
depth_concentration,120,6,0.005175350721729295,0.6666666666666666,0.9882664145396639,0.6706570514095181
depth_concentration,600,6,0.012347088867352288,0.5,0.9722961866309104,0.5292373633674026
depth_imbalance_1,30,6,0.05266043659468234,1.0,0.995371428500509,0.7629421417348047
depth_imbalance_1,120,6,0.07572224397459862,1.0,0.9882664145396639,0.6706570514095181
depth_imbalance_1,600,6,0.07930807867916183,1.0,0.9722961866309104,0.5292373633674026
depth_imbalance_3,30,6,0.031853462037069014,1.0,0.995371428500509,0.7629421417348047
depth_imbalance_3,120,6,0.03859484456593697,1.0,0.9882664145396639,0.6706570514095181
depth_imbalance_3,600,6,0.05148211709460876,1.0,0.9722961866309104,0.5292373633674026
depth_imbalance_5,30,6,0.009087531388378287,0.8333333333333334,0.995371428500509,0.7629421417348047
depth_imbalance_5,120,6,0.012404005578248598,1.0,0.9882664145396639,0.6706570514095181
depth_imbalance_5,600,6,0.03966893343633386,0.8333333333333334,0.9722961866309104,0.5292373633674026
depth_slope,30,6,-0.0010122811823099684,0.5,0.995371428500509,0.7629421417348047
depth_slope,120,6,0.007084389288015424,0.6666666666666666,0.9882664145396639,0.6706570514095181
depth_slope,600,6,-0.004155053190702251,0.3333333333333333,0.9722961866309104,0.5292373633674026
distance_to_zero_one,30,6,-0.09294810475088809,0.0,0.995371428500509,0.7629421417348047
distance_to_zero_one,120,6,-0.13756692760774308,0.0,0.9882664145396639,0.6706570514095181
distance_to_zero_one,600,6,-0.18196044371936465,0.0,0.9722961866309104,0.5292373633674026
microprice_minus_mid,30,6,0.05085057318281821,1.0,0.995371428500509,0.7629421417348047
microprice_minus_mid,120,6,0.06243669233220951,0.8333333333333334,0.9882664145396639,0.6706570514095181
microprice_minus_mid,600,6,0.07605335361570993,0.6666666666666666,0.9722961866309104,0.5292373633674026
spread,30,6,-0.08723021532344316,0.0,0.995371428500509,0.7629421417348047
spread,120,6,-0.1174717220517942,0.0,0.9882664145396639,0.6706570514095181
spread,600,6,-0.1352411350706738,0.0,0.9722961866309104,0.5292373633674026
tick_size_regime,30,6,-0.010534703621481886,0.3333333333333333,0.995371428500509,0.7629421417348047
tick_size_regime,120,6,-0.010740980047016242,0.16666666666666666,0.9882664145396639,0.6706570514095181
tick_size_regime,600,6,-0.013675712851317719,0.3333333333333333,0.9722961866309104,0.5292373633674026
top_level_depth,30,6,-0.003735800314651615,0.3333333333333333,0.995371428500509,0.7629421417348047
top_level_depth,120,6,0.0019899111080523297,0.6666666666666666,0.9882664145396639,0.6706570514095181
top_level_depth,600,6,0.0029470069592501245,0.5,0.9722961866309104,0.5292373633674026
