factor,horizon_seconds,activity,events,ic,coverage,zero_rate
depth_imbalance_1,30,high,6,0.06280353721475875,0.9905758380626609,0.7186259179316666
depth_imbalance_1,30,low,6,0.09347072321044025,0.9962429234947207,0.8769992090014753
depth_imbalance_1,30,medium,6,0.08412119740285079,0.996731056277805,0.8302203061749075
depth_imbalance_1,120,high,6,0.06787593843919591,0.976570356798169,0.6277804038232264
depth_imbalance_1,120,low,6,0.10656256683464259,0.9921695217941761,0.7886133406747738
depth_imbalance_1,120,medium,6,0.09306726480522291,0.9915279592068709,0.7392475296907047
depth_imbalance_1,600,high,6,0.07560807283510163,0.9572915287289331,0.49838949496364554
depth_imbalance_1,600,low,6,0.14848874785924315,0.9739817288351337,0.6056768991034276
depth_imbalance_1,600,medium,6,0.12619807515261716,0.9787786668007997,0.5827802393169034
microprice_minus_mid,30,high,6,0.04817785030039226,0.9905758380626609,0.7186259179316666
microprice_minus_mid,30,low,6,0.08744904900057458,0.9962429234947207,0.8769992090014753
microprice_minus_mid,30,medium,6,0.08085189407239078,0.996731056277805,0.8302203061749075
microprice_minus_mid,120,high,6,0.040526319722771674,0.976570356798169,0.6277804038232264
microprice_minus_mid,120,low,6,0.09375414343855461,0.9921695217941761,0.7886133406747738
microprice_minus_mid,120,medium,6,0.07793105573808243,0.9915279592068709,0.7392475296907047
microprice_minus_mid,600,high,6,0.03820483097266376,0.9572915287289331,0.49838949496364554
microprice_minus_mid,600,low,6,0.1290192811609363,0.9739817288351337,0.6056768991034276
microprice_minus_mid,600,medium,6,0.1021410983856329,0.9787786668007997,0.5827802393169034
