event_slug,city,quality,factor,horizon_seconds,slice_name,slice_value,token_count,coverage,zero_rate,ic,nonzero_hit_rate,top_bottom,crossing_markout_diagnostic
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,30,price_bucket,"(0.80,0.96]",1,0.9999208155993269,0.7560333392726337,0.07626868394069014,0.550526058233423,0.0011019786031817552,-0.008592958249078155
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,30,price_bucket,"(0.96,1]",1,0.9954217112625903,0.7148405560098119,0.028667421575142574,0.5015329125338143,-9.085227302732044e-05,-0.004763919479588172
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,30,price_bucket,"[0,0.04)",10,0.9871652513311677,0.8631840908044147,0.05013129635879665,0.5575558061133195,9.472865588186824e-05,-0.0021837738864843364
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,30,price_bucket,"[0.04,0.20)",8,0.882694881231181,0.18952522535877914,0.276372937819325,0.8022558793456033,0.011456488841779466,-0.002508046989624817
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,30,price_bucket,"[0.20,0.80]",1,1.0,0.021739130434782608,0.06549366720527354,0.7910447761194029,0.03553240740740737,-0.11806569343065691
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,60,price_bucket,"(0.80,0.96]",1,0.9999802038998318,0.6956091380607357,0.10285550091460477,0.5712513871662641,0.0018615533807799594,-0.0084448805629894
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,60,price_bucket,"(0.96,1]",1,0.9918608200223827,0.6551441173453687,0.03376315870585384,0.5027698757298997,-7.217277033218298e-05,-0.004774404976096226
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,60,price_bucket,"[0,0.04)",10,0.9754930531617951,0.836920403929617,0.06976277897294221,0.5591899608428816,0.00015360383599953675,-0.0021392741593121703
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,60,price_bucket,"[0.04,0.20)",8,0.8724489795918368,0.15452434191097825,0.5926760278612904,0.7697945686842157,0.01899119984732462,-0.00379778639465288
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,60,price_bucket,"[0.20,0.80]",1,1.0,0.007246376811594203,0.2445019628056277,0.8014705882352942,0.043263888888888845,-0.10897810218978099
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,120,price_bucket,"(0.80,0.96]",1,1.0,0.6136197169157676,0.12779443983860325,0.5923088787208883,0.0026102575391636017,-0.008183324743289859
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,120,price_bucket,"(0.96,1]",1,0.9850442567911283,0.5800454451559595,0.030407227134904097,0.4759490540373439,0.00022654987512726803,-0.004749598840519688
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,120,price_bucket,"[0,0.04)",10,0.9664285753978069,0.7912551839698894,0.0943072588326368,0.5518547855753894,0.0002796950879711389,-0.001942612030242154
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,120,price_bucket,"[0.04,0.20)",8,0.75,0.13394324797767276,0.4240850424168857,0.6986750588059025,0.001141142924036204,-0.006669809092708325
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,120,price_bucket,"[0.20,0.80]",1,1.0,0.0,0.41173317146013944,0.8029197080291971,0.05374999999999997,-0.09664233576642334
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,300,price_bucket,"(0.80,0.96]",1,1.0,0.46774225477580916,0.23340189123550661,0.632289336316182,0.006503911146198365,-0.007334317884470529
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,300,price_bucket,"(0.96,1]",1,0.9658663139688677,0.46358034444620005,0.0677157382472939,0.4460552268244576,0.001329030513443057,-0.004738042445359511
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,300,price_bucket,"[0,0.04)",10,0.9594450849556454,0.7289352408805707,0.14368838848436122,0.5823257610878134,0.0004967211242066439,-0.0018694211560206931
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,300,price_bucket,"[0.04,0.20)",8,0.5,0.16390027774103955,0.10693721941736824,0.5604682476202355,0.0012620064175970596,-0.013559095241927204
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,300,price_bucket,"[0.20,0.80]",1,1.0,0.0,0.23919726538258354,0.7664233576642335,0.023177083333333334,-0.0880656934306569
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,600,price_bucket,"(0.80,0.96]",1,1.0,0.38085717113728595,0.3118364135880588,0.6559005415104617,0.010527389677695145,-0.0063170122507235525
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,600,price_bucket,"(0.96,1]",1,0.9450605351510836,0.31919474647432444,0.10670679689124991,0.5222566055701023,0.0011692821680463752,-0.0045130577888091465
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,600,price_bucket,"[0,0.04)",10,0.9350558996921225,0.6654150030072958,0.20505704066789923,0.6037261642340609,0.0006593888857881845,-0.0018577218968734096
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,600,price_bucket,"[0.04,0.20)",8,0.625,0.10864398133277911,-0.2158854052425335,0.6346758616681962,-0.002011857101721288,-0.005751032173192061
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,600,price_bucket,"[0.20,0.80]",1,1.0,0.0,0.06381045029294309,0.7664233576642335,0.020804398148148162,-0.07682481751824816
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,900,price_bucket,"(0.80,0.96]",1,0.9999802038998318,0.3458051233321455,0.2793347246149243,0.5898842354082066,0.012991480604155349,-0.006800931707800579
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,900,price_bucket,"(0.96,1]",1,0.9331061145589582,0.30900070871722185,0.06634823963433181,0.5075217735550277,0.0013389541606181415,-0.004581293037490435
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,900,price_bucket,"[0,0.04)",10,0.9157485719281784,0.59742089545575,0.2257246116582448,0.5990708120329177,0.0009159777201574447,-0.0018351772067401965
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,900,price_bucket,"[0.04,0.20)",8,0.625,0.10059515937045364,-0.21652807134116347,0.6299030915867437,-0.0001598868761560606,-0.005633588081882653
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,900,price_bucket,"[0.20,0.80]",1,1.0,0.0,0.048743159773054885,0.7664233576642335,-0.002552083333333399,-0.039671532846715304
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,30,price_bucket,"(0.80,0.96]",1,0.9999208155993269,0.7560333392726337,0.0782281252018764,0.549633848657445,0.001447865831336422,-0.008594598878563935
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,30,price_bucket,"(0.96,1]",1,0.9954217112625903,0.7148405560098119,0.02429064240457461,0.49847642946764653,0.00016129286139999116,-0.004772116318290995
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,30,price_bucket,"[0,0.04)",10,0.9871652513311677,0.8631840908044147,0.06083162693491042,0.5564364115875631,-7.847910647382623e-05,-0.0021868627041180077
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,30,price_bucket,"[0.04,0.20)",8,0.882694881231181,0.18952522535877914,0.389850292892548,0.8021054587935429,0.005311016606209592,-0.0025082131273862825
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,30,price_bucket,"[0.20,0.80]",1,1.0,0.021739130434782608,0.09469620721607303,0.7925925925925926,0.03553240740740737,-0.11590579710144926
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,60,price_bucket,"(0.80,0.96]",1,0.9999802038998318,0.6956091380607357,0.0875555361116366,0.5708887151420381,0.0020485054437301906,-0.008446625985655988
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,60,price_bucket,"(0.96,1]",1,0.9918608200223827,0.6551441173453687,0.03696779268293857,0.49947939907779265,0.00020398964580406765,-0.004783633379494274
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,60,price_bucket,"[0,0.04)",10,0.9754930531617951,0.836920403929617,0.07884214380756287,0.5582445109116183,-0.00034914034137967486,-0.002142162859632267
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,60,price_bucket,"[0.04,0.20)",8,0.8724489795918368,0.15452434191097825,0.5702178766778299,0.7696735412714278,0.012279627458875314,-0.0037980741276577522
