event_slug,city,quality,factor,horizon_seconds,slice_name,slice_value,token_count,coverage,zero_rate,ic,nonzero_hit_rate,top_bottom,crossing_markout_diagnostic
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,bid_ask_liquidity_asymmetry,30,overall,all,11,0.9871001553855369,0.8597467587929176,0.0362183293648275,0.46210987967546446,0.0002585461705595468,-0.0028785122527146584
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,bid_ask_liquidity_asymmetry,120,overall,all,11,0.9680669579539529,0.7854312335460023,0.06700981869609383,0.500110107810024,0.00028552898839962523,-0.002646734031322501
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,bid_ask_liquidity_asymmetry,600,overall,all,11,0.9388175425375723,0.6501461615391215,0.12898883139275927,0.5579178364407068,0.0004343821558172877,-0.0025569360175447735
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_concentration,30,overall,all,11,0.9871001553855369,0.8597467587929176,0.032707431205544694,0.34965330384543997,-0.0003457082873968964,-0.0029582095425070773
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_concentration,120,overall,all,11,0.9680669579539529,0.7854312335460023,0.04000127859137445,0.39357124469827914,-0.00014111961034257367,-0.002718447914121622
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_concentration,600,overall,all,11,0.9388175425375723,0.6501461615391215,0.08811279088338457,0.42552507779756765,0.00020577179487763913,-0.00275316275277178
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,30,activity_bucket,high,11,0.9633819099967578,0.8203350924087018,-0.05423740078609425,0.4693627901405636,0.0002137020922696916,-0.0036990089040737136
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,30,activity_bucket,low,11,0.9917410480736861,0.8936567193747293,0.08390464020326543,0.6204814008231893,0.0006433729742763015,-0.00326067280859673
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,30,activity_bucket,medium,11,0.9919019864848504,0.8722171153534675,0.07175545392085549,0.5851076166464494,0.00015031556976907937,-0.002823490974897217
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,30,lifecycle_bucket,early,11,0.9862514824237294,0.8549708502467575,0.04820929536389249,0.5572481002892601,0.00027192803227765836,-0.003439089755497028
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,30,lifecycle_bucket,late,1,0.975,0.9560439560439561,0.025945806853276434,0.5,5.4163126593027175e-05,-0.0007454212454212744
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,30,lifecycle_bucket,mid,6,0.9982139567196017,0.8725467822305126,0.09744010620062589,0.5624129755494839,0.0002051136790870076,-0.0024462917510310123
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,30,overall,all,11,0.9871001553855369,0.8597467587929176,0.04746409502709072,0.5526283639733504,0.00017324050316355318,-0.0028337050578028937
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,30,price_bucket,"(0.80,0.96]",1,0.9999208155993269,0.7560333392726337,0.07626868394069014,0.550526058233423,0.0011019786031817552,-0.008592958249078155
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,30,price_bucket,"(0.96,1]",1,0.9954217112625903,0.7148405560098119,0.028667421575142574,0.5015329125338143,-9.085227302732044e-05,-0.004763919479588172
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,30,price_bucket,"[0,0.04)",10,0.9871652513311677,0.8631840908044147,0.05013129635879665,0.5575558061133195,9.472865588186824e-05,-0.0021837738864843364
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,30,price_bucket,"[0.04,0.20)",8,0.882694881231181,0.18952522535877914,0.276372937819325,0.8022558793456033,0.011456488841779466,-0.002508046989624817
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,30,price_bucket,"[0.20,0.80]",1,1.0,0.021739130434782608,0.06549366720527354,0.7910447761194029,0.03553240740740737,-0.11806569343065691
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,30,spread_bucket,medium,11,0.9836555114850634,0.8817308223173914,0.05180145951809051,0.60806709562945,-5.1573984408692246e-05,-0.0021827533790389603
