event_slug,city,event_date,cohort,scope,rows,coverage,zero_rate,ic,crossing_markout,top1_update_share,top3_update_share,top1_trade_share,top3_trade_share,top1_probability_mass,top3_probability_mass,active_market_count
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,all_market,23251,0.9990538041374565,0.8666322269576822,0.044472808047503434,-0.006667036940233492,0.14831260321912026,0.49537806498263376,0.41875,0.775,0.5646262822736987,0.8802793256530078,4.09915014164306
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,dynamic_active,8682,0.9993089149965446,0.7538035961272476,0.08319839462344224,-0.01340164613927049,0.21424406370582957,0.7155953533888723,0.41875,0.775,0.5962650180409489,0.9460938702797329,4.09915014164306
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,degraded,all_market,25252,0.999128781878663,0.8661910424098296,0.0657031665377311,-0.00588442691526234,0.1583725840282467,0.5098185423458729,0.3584158415841584,0.6633663366336634,0.5367606749543878,0.8757355497195402,5.043893959148196
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,degraded,dynamic_active,11606,0.9994830260210236,0.770603448275862,0.09179744379569496,-0.01049669737528246,0.20206625839505563,0.6504732239127831,0.3584158415841584,0.6633663366336634,0.562073599440977,0.9289709660957817,5.043893959148196
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,clean,all_market,35881,0.9994426019341713,0.9105156019073646,0.04214398734329158,-0.0025864707853871065,0.27966348635966287,0.6371935110613504,0.417296389588581,0.780016792611251,0.7450128699022348,0.9389742700357062,4.4047884187082404
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,clean,dynamic_active,15822,0.999620781190747,0.8231537683358624,0.0864615607589652,-0.004667205630587786,0.3072415987120615,0.7000282932025913,0.417296389588581,0.780016792611251,0.7560579523288149,0.9570498130446974,4.4047884187082404
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,clean,all_market,32995,0.9993332323079255,0.8604615897855822,0.03125762323524223,-0.008956224850627973,0.19023530329643915,0.5063153810631348,0.42052313883299797,0.682092555331992,0.49295334649806655,0.8701218144988474,4.442677269715043
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,clean,dynamic_active,13408,0.9995525059665871,0.7577973436800478,0.0643788833204783,-0.018027399322544223,0.2714297319008235,0.7224161118248255,0.42052313883299797,0.682092555331992,0.5266151165634679,0.9427639945056085,4.442677269715043
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,clean,all_market,23254,0.9990539262062441,0.8838670798898072,0.0356083098777894,-0.005564926343154246,0.29716539373860246,0.6987513467264246,0.5036496350364964,0.9036496350364963,0.5375014736954027,0.9212549777613579,4.547160957297043
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,clean,dynamic_active,9690,0.9993808049535604,0.7736472532011566,0.07500145130216139,-0.010568766267568974,0.3310348050924836,0.7783914976155065,0.5036496350364964,0.9036496350364963,0.5562300187635469,0.9613192878155262,4.547160957297043
highest-temperature-in-jeddah-on-june-6-2026,Jeddah,2026-06-06,degraded,all_market,26387,0.9991662561109638,0.8570453252417979,0.04078371729121616,-0.006176925715592484,0.2737259839071651,0.779613005637966,0.38,0.8825,0.6756514963567992,0.953928012330913,3.7115146512587702
highest-temperature-in-jeddah-on-june-6-2026,Jeddah,2026-06-06,degraded,dynamic_active,8993,0.9993328144112087,0.6706353621898298,0.08410453448622766,-0.01487781912494362,0.3264171593062648,0.9296854431798155,0.38,0.8825,0.693867142484695,0.9818908183852791,3.7115146512587702
highest-temperature-in-seattle-on-june-6-2026,Seattle,2026-06-06,clean,all_market,33846,0.9993499970454411,0.8279328287606433,0.057264707706527265,-0.00636517587045495,0.1774708046111387,0.4856573433483503,0.22473246135552913,0.5648038049940547,0.49083198739757977,0.8448138385139436,4.988680465717982
highest-temperature-in-seattle-on-june-6-2026,Seattle,2026-06-06,clean,dynamic_active,15425,0.999611021069692,0.7283870549322264,0.08190598386086005,-0.01071663732968251,0.24053499378462548,0.6582355127070927,0.22473246135552913,0.5648038049940547,0.5241210264328353,0.9178722540290621,4.988680465717982
highest-temperature-in-nyc-on-june-6-2026,NYC,2026-06-06,clean,all_market,31865,0.9993095873215126,0.8419746883145433,0.058802042526904484,-0.0048485836720547,0.150933100073237,0.49619669054777327,0.28539156626506024,0.6965361445783133,0.5136664597388186,0.8913819330145986,5.163391933815926
highest-temperature-in-nyc-on-june-6-2026,NYC,2026-06-06,clean,dynamic_active,14979,0.9995994392149009,0.7395979429640018,0.09980311776387021,-0.00813269760257874,0.20291699843100294,0.6670951767935286,0.28539156626506024,0.6965361445783133,0.5309335887934274,0.9277248882566351,5.163391933815926
highest-temperature-in-taipei-on-june-7-2026,Taipei,2026-06-07,degraded,all_market,22932,0.9990406418977847,0.8241815800960279,0.05588936967379548,-0.006850662700669262,0.14694434103684306,0.4266654685648023,0.35611510791366907,0.6738609112709832,0.5506083323180248,0.8325052070194533,5.523239099185433
