event_slug,city,event_date,cohort,timestamp,lifecycle_bucket,expected_outcomes,observable_outcomes,valid_outcomes,complete_outcomes,sum_mid,sum_deviation,max_bbo_age_seconds,median_bbo_age_seconds,max_spread,median_spread,outcome_source_span_seconds,event_has_tick_size_conflict,sum_best_bid,sum_best_ask
highest-temperature-in-chengdu-on-june-10-2026,Chengdu,2026-06-10,clean,2026-06-08 04:13:00+00:00,>24h,11,11,11,True,5.369999999999999,4.369999999999999,47.997,26.023,0.98,0.98,47.279,False,0.14,10.6
highest-temperature-in-chengdu-on-june-10-2026,Chengdu,2026-06-10,clean,2026-06-08 04:14:00+00:00,>24h,11,11,11,True,4.205,3.205,60.718,39.262,0.98,0.69,21.857,False,0.15000000000000002,8.26
highest-temperature-in-chengdu-on-june-10-2026,Chengdu,2026-06-10,clean,2026-06-08 04:15:00+00:00,>24h,11,11,11,True,4.135,3.135,120.718,98.861,0.98,0.69,119.057,False,0.15000000000000002,8.12
highest-temperature-in-chengdu-on-june-10-2026,Chengdu,2026-06-10,clean,2026-06-08 04:16:00+00:00,>24h,11,11,11,True,4.13,3.13,180.718,6.335,0.98,0.6799999999999999,175.027,False,0.15000000000000002,8.11
highest-temperature-in-chengdu-on-june-10-2026,Chengdu,2026-06-10,clean,2026-06-08 04:18:00+00:00,>24h,11,11,11,True,2.765,1.7650000000000001,300.718,12.248,0.98,0.32,298.071,False,0.37000000000000005,5.16
highest-temperature-in-chengdu-on-june-10-2026,Chengdu,2026-06-10,clean,2026-06-08 04:17:00+00:00,>24h,11,11,11,True,2.715,1.7149999999999999,240.718,19.155,0.98,0.32,239.107,False,0.27,5.16
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,2026-06-09,clean,2026-06-08 01:07:00+00:00,>24h,11,11,11,True,2.58,1.58,57.756,32.975,0.9299999999999999,0.060000000000000005,43.413,False,0.14,5.0200000000000005
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,2026-06-09,clean,2026-06-08 01:08:00+00:00,>24h,11,11,11,True,2.5700000000000003,1.5700000000000003,117.756,9.219,0.9299999999999999,0.060000000000000005,113.207,False,0.14,5.000000000000001
highest-temperature-in-chengdu-on-june-10-2026,Chengdu,2026-06-10,clean,2026-06-08 04:19:00+00:00,>24h,11,11,11,True,2.55,1.5499999999999998,360.718,51.67,0.98,0.28,314.665,False,0.37000000000000005,4.73
highest-temperature-in-cape-town-on-june-8-2026,Cape Town,2026-06-08,clean,2026-06-06 19:24:00+00:00,>24h,11,11,7,False,2.48,1.48,29.661,29.568,0.69,0.6799999999999999,4.864,False,0.08999999999999998,4.870000000000001
