event_slug,city,event_date,timestamp,snapshot,market_index,market_label,temperature_bin,raw_mid,normalized_probability
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,2026-06-05 15:42:00+00:00,T-24,0.0,23°C or below,23.0,0.0035,0.003578732106339468
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,2026-06-05 15:42:00+00:00,T-24,1.0,24°C,24.0,0.0075,0.007668711656441717
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,2026-06-05 15:42:00+00:00,T-24,2.0,25°C,25.0,0.095,0.09713701431492842
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,2026-06-05 15:42:00+00:00,T-24,3.0,26°C,26.0,0.29500000000000004,0.3016359918200409
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,2026-06-05 15:42:00+00:00,T-24,4.0,27°C,27.0,0.31,0.3169734151329243
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,2026-06-05 15:42:00+00:00,T-24,5.0,28°C,28.0,0.197,0.20143149284253578
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,2026-06-05 15:42:00+00:00,T-24,6.0,29°C,29.0,0.0485,0.04959100204498977
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,2026-06-05 15:42:00+00:00,T-24,7.0,30°C,30.0,0.010499999999999999,0.010736196319018404
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,2026-06-05 15:42:00+00:00,T-24,8.0,31°C,31.0,0.006,0.0061349693251533735
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,2026-06-05 15:42:00+00:00,T-24,9.0,32°C,32.0,0.002,0.0020449897750511245
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,2026-06-05 15:42:00+00:00,T-24,10.0,33°C or higher,33.0,0.003,0.0030674846625766868
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,2026-06-06 09:42:00+00:00,T-6,0.0,23°C or below,23.0,0.002,0.001965601965601966
