event_slug,city,bucket,minutes,updates_per_minute,trades_per_minute,minutes_with_updates,minutes_with_trades,active_markets,spread
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,0-1h,17,0.0,0.11764705882352941,0.0,0.11764705882352941,3.0,0.001
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,1-3h,120,0.0,0.025,0.0,0.025,3.0,0.001
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,3-6h,180,0.0,0.011111111111111112,0.0,0.011111111111111112,3.0,0.001
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,6-12h,360,365.0833333333333,0.7277777777777777,0.7083333333333334,0.24722222222222223,5.105555555555555,0.001
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,12-24h,720,839.8888888888889,0.22083333333333333,1.0,0.1361111111111111,4.713888888888889,0.003
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,24-36h,720,340.575,0.07916666666666666,0.8888888888888888,0.06388888888888888,4.856944444444444,0.003
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,36-48h,720,460.5861111111111,0.15,1.0,0.06388888888888888,5.1625,0.004
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,48-72h,236,304.9957627118644,0.0423728813559322,0.8008474576271186,0.03389830508474576,4.4491525423728815,0.01
highest-temperature-in-ankara-on-june-10-2026,Ankara,1-3h,102,0.0,0.00980392156862745,0.0,0.00980392156862745,3.0,0.001
highest-temperature-in-ankara-on-june-10-2026,Ankara,3-6h,180,3.45,0.06666666666666667,0.18888888888888888,0.05,3.327777777777778,0.001
highest-temperature-in-ankara-on-june-10-2026,Ankara,6-12h,360,363.85555555555555,1.0194444444444444,0.9722222222222222,0.41944444444444445,4.983333333333333,0.001
highest-temperature-in-ankara-on-june-10-2026,Ankara,12-24h,720,264.20416666666665,0.37777777777777777,0.9638888888888889,0.20833333333333334,4.823611111111111,0.004
highest-temperature-in-ankara-on-june-10-2026,Ankara,24-36h,720,416.0444444444444,0.26805555555555555,1.0,0.09861111111111111,4.990277777777778,0.002
highest-temperature-in-ankara-on-june-10-2026,Ankara,36-48h,720,435.89444444444445,0.06111111111111111,0.9708333333333333,0.04861111111111111,5.191666666666666,0.0059999999999999
highest-temperature-in-ankara-on-june-10-2026,Ankara,48-72h,1081,290.9703977798335,0.07215541165587419,0.9361702127659575,0.05272895467160037,4.26827012025902,0.005
highest-temperature-in-beijing-on-june-8-2026,Beijing,0-1h,39,0.0,0.05128205128205128,0.0,0.05128205128205128,3.0,0.001
highest-temperature-in-beijing-on-june-8-2026,Beijing,1-3h,120,0.0,0.025,0.0,0.025,3.25,0.001
highest-temperature-in-beijing-on-june-8-2026,Beijing,3-6h,180,4.222222222222222,0.08888888888888889,0.03333333333333333,0.07222222222222222,3.1666666666666665,0.001
highest-temperature-in-beijing-on-june-8-2026,Beijing,6-12h,360,1342.5583333333334,2.5027777777777778,0.7583333333333333,0.5861111111111111,7.183333333333334,0.001
highest-temperature-in-beijing-on-june-8-2026,Beijing,12-24h,720,944.7972222222222,0.7013888888888888,0.9,0.25972222222222224,5.895833333333333,0.0099999999999999
highest-temperature-in-beijing-on-june-8-2026,Beijing,24-36h,720,816.8402777777778,0.21944444444444444,1.0,0.13194444444444445,6.152777777777778,0.01
highest-temperature-in-beijing-on-june-8-2026,Beijing,36-48h,558,570.2491039426524,0.2114695340501792,0.9157706093189965,0.10215053763440861,6.005376344086022,0.01
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,1-3h,103,0.0,0.019417475728155338,0.0,0.019417475728155338,3.0,0.001
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,3-6h,180,0.027777777777777776,0.03888888888888889,0.005555555555555556,0.03888888888888889,3.1944444444444446,0.001
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,6-12h,360,220.55555555555554,0.6833333333333333,0.8333333333333334,0.23333333333333334,4.502777777777778,0.001
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,12-24h,720,807.1652777777778,0.6152777777777778,1.0,0.2013888888888889,6.055555555555555,0.006
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,24-36h,720,255.94444444444446,0.06805555555555555,0.9166666666666666,0.05277777777777778,5.195833333333334,0.0069999999999999
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,36-48h,720,385.26944444444445,0.04583333333333333,0.9652777777777778,0.0375,4.665277777777778,0.0049999999999999
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,48-72h,168,154.7202380952381,0.14285714285714285,1.0,0.09523809523809523,4.458333333333333,0.01
