event_slug,city,scheduled_end,close_end,scheduled_to_close_hours,last_update,last_update_hours_before_close,last_update_hours_after_scheduled,last_trade,last_trade_hours_before_close,last_trade_hours_after_scheduled,updates_last6,trades_last6
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08 12:00:00+00:00,2026-06-08 23:13:39+00:00,11.2275,2026-06-08 15:58:00+00:00,7.260833333333333,3.966666666666667,2026-06-08 22:30:00+00:00,0.7275,10.5,0,7
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10 12:00:00+00:00,2026-06-10 22:09:00+00:00,10.15,2026-06-10 16:56:00+00:00,5.216666666666667,4.933333333333334,2026-06-10 20:50:00+00:00,1.3166666666666667,8.833333333333334,621,13
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08 12:00:00+00:00,2026-06-08 16:42:45+00:00,4.7125,2026-06-08 11:23:00+00:00,5.329166666666667,-0.6166666666666667,2026-06-08 16:21:00+00:00,0.3625,4.35,760,21
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,2026-06-09 12:00:00+00:00,2026-06-10 03:54:57+00:00,15.915833333333333,2026-06-09 22:00:00+00:00,5.9158333333333335,10.0,2026-06-10 02:37:00+00:00,1.2991666666666666,14.616666666666667,5,9
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06 12:00:00+00:00,2026-06-06 15:42:15+00:00,3.7041666666666666,2026-06-06 09:50:00+00:00,5.870833333333334,-2.1666666666666665,2026-06-06 15:39:00+00:00,0.05416666666666667,3.65,20,13
highest-temperature-in-cape-town-on-june-8-2026,Cape Town,2026-06-08 12:00:00+00:00,2026-06-08 22:40:55+00:00,10.681944444444444,2026-06-08 21:00:00+00:00,1.6819444444444445,9.0,2026-06-08 22:09:00+00:00,0.5319444444444444,10.15,1219,10
highest-temperature-in-chengdu-on-june-10-2026,Chengdu,2026-06-10 12:00:00+00:00,2026-06-10 16:48:55+00:00,4.815277777777778,2026-06-10 09:08:00+00:00,7.6819444444444445,-2.8666666666666667,2026-06-10 15:54:00+00:00,0.9152777777777777,3.9,0,13
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06 12:00:00+00:00,2026-06-06 16:48:48+00:00,4.8133333333333335,2026-06-06 10:43:00+00:00,6.096666666666667,-1.2833333333333334,2026-06-06 16:05:00+00:00,0.73,4.083333333333333,0,8
highest-temperature-in-dallas-on-june-8-2026,Dallas,2026-06-08 12:00:00+00:00,2026-06-09 06:35:06+00:00,18.585,2026-06-08 23:48:00+00:00,6.785,11.8,2026-06-09 04:45:00+00:00,1.835,16.75,0,4
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06 12:00:00+00:00,2026-06-07 07:41:55+00:00,19.698611111111113,2026-06-07 02:22:00+00:00,5.331944444444445,14.366666666666667,2026-06-07 06:57:00+00:00,0.7486111111111111,18.95,56,45
highest-temperature-in-helsinki-on-june-7-2026,Helsinki,2026-06-07 12:00:00+00:00,2026-06-07 22:00:21+00:00,10.005833333333333,2026-06-07 17:14:00+00:00,4.7725,5.233333333333333,2026-06-07 20:52:00+00:00,1.1391666666666667,8.866666666666667,2827,25
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06 12:00:00+00:00,2026-06-08 03:08:04+00:00,39.13444444444445,2026-06-07 16:06:00+00:00,11.034444444444444,28.1,2026-06-07 16:11:00+00:00,10.95111111111111,28.183333333333334,0,0
highest-temperature-in-houston-on-june-8-2026,Houston,2026-06-08 12:00:00+00:00,2026-06-09 06:35:03+00:00,18.58416666666667,2026-06-08 23:45:00+00:00,6.8341666666666665,11.75,2026-06-09 05:57:00+00:00,0.6341666666666667,17.95,0,3
highest-temperature-in-istanbul-on-june-7-2026,Istanbul,2026-06-07 12:00:00+00:00,2026-06-07 22:04:39+00:00,10.0775,2026-06-07 16:35:00+00:00,5.494166666666667,4.583333333333333,2026-06-07 20:00:00+00:00,2.0775,8.0,34,13
highest-temperature-in-jeddah-on-june-6-2026,Jeddah,2026-06-06 12:00:00+00:00,2026-06-06 21:37:24+00:00,9.623333333333333,2026-06-06 21:00:00+00:00,0.6233333333333333,9.0,2026-06-06 21:00:00+00:00,0.6233333333333333,9.0,566,11
highest-temperature-in-karachi-on-june-9-2026,Karachi,2026-06-09 12:00:00+00:00,2026-06-09 20:09:57+00:00,8.165833333333333,2026-06-09 16:55:00+00:00,3.2491666666666665,4.916666666666667,2026-06-09 16:55:00+00:00,3.2491666666666665,4.916666666666667,275,5
highest-temperature-in-kuala-lumpur-on-june-9-2026,Kuala Lumpur,2026-06-09 12:00:00+00:00,2026-06-09 16:48:34+00:00,4.809444444444445,2026-06-09 11:04:00+00:00,5.7427777777777775,-0.9333333333333333,2026-06-09 16:14:00+00:00,0.5761111111111111,4.233333333333333,46,12
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06 12:00:00+00:00,2026-06-06 19:15:33+00:00,7.259166666666666,2026-06-06 17:31:00+00:00,1.7425,5.516666666666667,2026-06-06 18:30:00+00:00,0.7591666666666667,6.5,2681,19
highest-temperature-in-manila-on-june-8-2026,Manila,2026-06-08 12:00:00+00:00,2026-06-08 16:43:27+00:00,4.724166666666667,2026-06-08 15:24:00+00:00,1.3241666666666667,3.4,2026-06-08 15:24:00+00:00,1.3241666666666667,3.4,1513,10
highest-temperature-in-mexico-city-on-june-8-2026,Mexico City,2026-06-08 12:00:00+00:00,2026-06-09 07:35:00+00:00,19.583333333333332,2026-06-09 00:28:00+00:00,7.116666666666666,12.466666666666667,2026-06-09 06:57:00+00:00,0.6333333333333333,18.95,0,4
highest-temperature-in-moscow-on-june-7-2026,Moscow,2026-06-07 12:00:00+00:00,2026-06-07 21:57:01+00:00,9.950277777777778,2026-06-07 18:05:00+00:00,3.8669444444444445,6.083333333333333,2026-06-07 21:25:00+00:00,0.5336111111111111,9.416666666666666,24077,50
highest-temperature-in-munich-on-june-9-2026,Munich,2026-06-09 12:00:00+00:00,2026-06-09 22:59:52+00:00,10.997777777777777,2026-06-09 16:57:00+00:00,6.047777777777778,4.95,2026-06-09 20:35:00+00:00,2.4144444444444444,8.583333333333334,0,9
highest-temperature-in-nyc-on-june-6-2026,NYC,2026-06-06 12:00:00+00:00,2026-06-07 05:31:51+00:00,17.530833333333334,2026-06-07 01:35:00+00:00,3.9475,13.583333333333334,2026-06-07 05:01:00+00:00,0.5141666666666667,17.016666666666666,2772,24
highest-temperature-in-paris-on-june-10-2026,Paris,2026-06-10 12:00:00+00:00,2026-06-10 22:43:10+00:00,10.719444444444445,2026-06-10 18:40:00+00:00,4.052777777777778,6.666666666666667,2026-06-10 22:18:00+00:00,0.41944444444444445,10.3,228,17
highest-temperature-in-qingdao-on-june-9-2026,Qingdao,2026-06-09 12:00:00+00:00,2026-06-09 16:46:25+00:00,4.773611111111111,2026-06-09 06:51:00+00:00,9.92361111111111,-5.15,2026-06-09 15:45:00+00:00,1.023611111111111,3.75,0,6
highest-temperature-in-san-francisco-on-june-7-2026,San Francisco,2026-06-07 12:00:00+00:00,2026-06-08 08:34:01+00:00,20.566944444444445,2026-06-08 01:01:00+00:00,7.550277777777778,13.016666666666667,2026-06-08 08:31:00+00:00,0.050277777777777775,20.516666666666666,0,4
highest-temperature-in-seattle-on-june-6-2026,Seattle,2026-06-06 12:00:00+00:00,2026-06-07 08:31:48+00:00,20.53,2026-06-07 01:34:00+00:00,6.963333333333333,13.566666666666666,2026-06-07 07:44:00+00:00,0.7966666666666666,19.733333333333334,0,7
highest-temperature-in-seoul-on-june-10-2026,Seoul,2026-06-10 12:00:00+00:00,2026-06-10 15:36:54+00:00,3.615,2026-06-10 13:09:00+00:00,2.465,1.15,2026-06-10 15:16:00+00:00,0.34833333333333333,3.2666666666666666,23,36
highest-temperature-in-shanghai-on-june-9-2026,Shanghai,2026-06-09 12:00:00+00:00,2026-06-09 16:43:25+00:00,4.723611111111111,2026-06-09 10:11:00+00:00,6.540277777777778,-1.8166666666666667,2026-06-09 16:28:00+00:00,0.2569444444444444,4.466666666666667,0,15
highest-temperature-in-singapore-on-june-10-2026,Singapore,2026-06-10 12:00:00+00:00,2026-06-10 16:37:42+00:00,4.628333333333333,2026-06-10 10:15:00+00:00,6.378333333333333,-1.75,2026-06-10 15:15:00+00:00,1.3783333333333334,3.25,0,12
highest-temperature-in-taipei-on-june-7-2026,Taipei,2026-06-07 12:00:00+00:00,2026-06-07 16:51:31+00:00,4.858611111111111,2026-06-07 09:08:00+00:00,7.7252777777777775,-2.8666666666666667,2026-06-07 15:32:00+00:00,1.3252777777777778,3.533333333333333,0,9
highest-temperature-in-tel-aviv-on-june-7-2026,Tel Aviv,2026-06-07 12:00:00+00:00,2026-06-07 22:00:25+00:00,10.006944444444445,2026-06-07 16:35:00+00:00,5.423611111111111,4.583333333333333,2026-06-07 18:58:00+00:00,3.040277777777778,6.966666666666667,19,7
highest-temperature-in-tokyo-on-june-10-2026,Tokyo,2026-06-10 12:00:00+00:00,2026-06-10 15:43:45+00:00,3.7291666666666665,2026-06-10 10:15:00+00:00,5.479166666666667,-1.75,2026-06-10 15:17:00+00:00,0.44583333333333336,3.283333333333333,906,20
highest-temperature-in-warsaw-on-june-7-2026,Warsaw,2026-06-07 12:00:00+00:00,2026-06-07 22:40:51+00:00,10.680833333333334,2026-06-07 16:57:00+00:00,5.730833333333333,4.95,2026-06-07 22:09:00+00:00,0.5308333333333334,10.15,343,19
highest-temperature-in-wellington-on-june-9-2026,Wellington,2026-06-09 12:00:00+00:00,2026-06-09 12:40:09+00:00,0.6691666666666667,2026-06-09 09:41:00+00:00,2.9858333333333333,-2.316666666666667,2026-06-09 11:35:00+00:00,1.0858333333333334,-0.4166666666666667,10755,39
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10 12:00:00+00:00,2026-06-10 16:50:19+00:00,4.838611111111111,2026-06-10 10:07:00+00:00,6.7219444444444445,-1.8833333333333333,2026-06-10 15:45:00+00:00,1.0886111111111112,3.75,0,14
