event_slug,city,event_date,cohort,lifecycle_bucket,grid_rows,updates,trades,updates_per_minute,trades_per_minute,active_market_count,spread_median,spread_p90
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,<1h,57,0,2,0.0,0.03508771929824561,3.0,0.002,0.002
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,1-6h,300,20,11,0.06666666666666667,0.03666666666666667,3.3,0.002,0.002
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,6-24h,1080,420811,235,389.6398148148148,0.2175925925925926,4.408333333333333,0.002,0.039999999999999994
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,>24h,681,148992,72,218.784140969163,0.10572687224669604,4.052863436123348,0.010000000000000009,0.03300000000000001
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,degraded,<1h,15,0,2,0.0,0.13333333333333333,3.0,0.001,0.003
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,degraded,1-6h,300,2681,17,8.936666666666667,0.056666666666666664,3.6566666666666667,0.001,0.003
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,degraded,6-24h,1080,448609,321,415.3787037037037,0.2972222222222222,4.931481481481481,0.003,0.039999999999999994
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,degraded,>24h,906,272949,165,301.2682119205298,0.18211920529801323,5.671081677704194,0.00899999999999998,0.03
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,clean,6-24h,783,1024,21,1.3077905491698596,0.02681992337164751,3.153256704980843,0.001,0.001
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,clean,>24h,2809,826058,1170,294.07547169811323,0.4165183339266643,4.753648985404058,0.001,0.020000000000000018
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,clean,<1h,16,0,1,0.0,0.0625,3.0,0.001,0.002
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,clean,1-6h,300,56,44,0.18666666666666668,0.14666666666666667,3.0,0.001,0.002
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,clean,6-24h,1080,475578,307,440.35,0.28425925925925927,4.70925925925926,0.004,0.06
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,clean,>24h,1622,472892,145,291.54870530209615,0.08939580764488286,4.546239210850802,0.009000000000000001,0.04000000000000001
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,clean,<1h,17,0,1,0.0,0.058823529411764705,3.0,0.002,0.0040000000000000036
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,clean,1-6h,300,0,7,0.0,0.023333333333333334,3.0533333333333332,0.002,0.0040000000000000036
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,clean,6-24h,1080,501355,596,464.2175925925926,0.5518518518518518,4.762037037037037,0.002,0.03
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,clean,>24h,734,166063,81,226.24386920980928,0.11035422343324251,4.877384196185286,0.008,0.039999999999999994
highest-temperature-in-jeddah-on-june-6-2026,Jeddah,2026-06-06,degraded,<1h,23,17,1,0.7391304347826086,0.043478260869565216,3.0,0.002,0.002
highest-temperature-in-jeddah-on-june-6-2026,Jeddah,2026-06-06,degraded,1-6h,300,549,10,1.83,0.03333333333333333,3.1366666666666667,0.002,0.0020000000000000018
