event_slug,city,event_date,cohort,market_index,token_id,reason
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,3,27961723940611836254412250085777271604886033979190384822939494734784195369248,no ranking observations
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,4,93869090559776132159324020239366425795233512885969162777743029231089612934170,no ranking observations
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,5,96478249405510232239630815198335618821015966998870906427775953709992707900440,no ranking observations
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,6,104213888987781119629066705348360723500526448976459641841095092699020053833158,no ranking observations
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,7,90766225207290685078397313631412612775503882825345609986695635426448037845234,no ranking observations
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,8,10873691059370165894122655440775354293450330292599625388593816466670695257282,no ranking observations
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,9,4453459991797680982401714414006360788816365982699643304663513382811323611565,no ranking observations
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,10,1936297804499229226745699644871412770078423556225852345417900409504171418495,no ranking observations
highest-temperature-in-los-angeles-on-june-4-2026,Los Angeles,2026-06-04,clean,0,11140312727844342947603129351057339961870853639730741387033333289779452149610,no ranking observations
highest-temperature-in-los-angeles-on-june-4-2026,Los Angeles,2026-06-04,clean,1,600252894703745584156238137423473999500250449741530370362195617617163488946,no ranking observations
highest-temperature-in-los-angeles-on-june-4-2026,Los Angeles,2026-06-04,clean,4,71732005705964752325879988010064104379474169040440372377109456860473640536377,no ranking observations
highest-temperature-in-london-on-june-4-2026,London,2026-06-04,clean,0,79342794426192387510931664714559097341147225049225740370360998178324231178811,no ranking observations
highest-temperature-in-london-on-june-4-2026,London,2026-06-04,clean,1,4477175378508836546718952201221710539932039506367821569368755405127615880614,no ranking observations
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,clean,4,41217388867275757263437353685053760008270892830130614084067681743853532176358,no ranking observations
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,0,99691964668395594677631536613566256725287288190205616461376993224106073847958,no ranking observations
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,1,101105979129358763875580149626790368196039928906754078810037841376972188627726,no ranking observations
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2,90673118748213091532657364110161998490134462154340123603949225713503675979702,no ranking observations
highest-temperature-in-chengdu-on-june-7-2026,Chengdu,2026-06-07,degraded,1,34835016785118361669359683069283495121839284929967463297478300370150958846244,no ranking observations
highest-temperature-in-chengdu-on-june-7-2026,Chengdu,2026-06-07,degraded,2,102171670788512553857689785383865880067041046450272848149091561377470535685020,no ranking observations
highest-temperature-in-chengdu-on-june-7-2026,Chengdu,2026-06-07,degraded,3,110653534541706275048585911081432672960979416185709374736967577728466749769753,no ranking observations
highest-temperature-in-nyc-on-june-7-2026,NYC,2026-06-07,degraded,9,75931614304759952762970568328536347054024387304882603233753772165166037614263,no ranking observations
highest-temperature-in-nyc-on-june-7-2026,NYC,2026-06-07,degraded,10,22667029875632923072636930364197766984359002247483108415680660165687750956112,no ranking observations
highest-temperature-in-atlanta-on-june-7-2026,Atlanta,2026-06-07,degraded,0,99100009556768180300302545055678474076745107758216682459891174796884915276564,no ranking observations
highest-temperature-in-atlanta-on-june-7-2026,Atlanta,2026-06-07,degraded,1,90289513758462862796135382265150872494170371773499985141333560983279007719964,no ranking observations
