event_slug,city,event_date,cohort,factor,horizon_seconds,lifecycle_bucket,ic,zero_rate,crossing_markout,coverage,tokens
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,30,1-6h,0.05379760855376906,0.7642581697788684,-0.009890383145692967,0.99659577456837,9
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,30,6-24h,0.07078687239736277,0.8549525684787198,-0.0052133055469201365,0.9989419724663686,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,30,<1h,0.13851363228029404,0.6340897703305715,-0.02628158214825526,0.9713952542197218,7
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,30,>24h,0.03078811693649718,0.8530851979208997,-0.006393685600136128,0.9998710720360204,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,30,all,0.04205888909400433,0.8266036281919,-0.007383817726155682,0.9984054280845835,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,60,1-6h,0.07030519665047442,0.7134518968787883,-0.009658939485329388,0.9950213204336765,9
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,60,6-24h,0.08416655200606117,0.8254219331191431,-0.005167562275758663,0.9983318125724575,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,60,<1h,0.12452011895450339,0.6011263169586973,-0.02661699863112706,0.9566018995270272,7
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,60,>24h,0.03429515686715013,0.8179578876921785,-0.006294380754099119,0.999804128670108,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,60,all,0.05079580710145113,0.7914662520025145,-0.007288252988857082,0.9975938490017153,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,120,1-6h,0.09793381005865494,0.6532056364190705,-0.009257287419768799,0.9927673060125906,9
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,120,6-24h,0.092816233602291,0.7935854117267671,-0.005151177575659309,0.9970512391835412,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,120,<1h,0.0516826608524088,0.5477768763806892,-0.02705626376815373,0.9189228801273622,7
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,120,>24h,0.05211408776582498,0.7755437735101601,-0.006176816619428072,0.999715100157226,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,120,all,0.06068655708431496,0.7527127907563013,-0.007169701173187937,0.9962933125022251,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,300,1-6h,0.11319767754325955,0.5693394630971047,-0.008668824916666823,0.9867564518706791,9
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,300,6-24h,0.10092132140681384,0.7256650789284539,-0.005109522593770382,0.9921625354642862,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,300,<1h,0.03358624209925687,0.519902409913976,-0.025839429217311572,0.8090265818592434,7
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,300,>24h,0.059031453093707296,0.6814386823373895,-0.006051150800772209,0.999077669180762,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,300,all,0.06251742954712713,0.6765350092287411,-0.006926892712176063,0.9921964874566007,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,600,1-6h,0.12268442378985646,0.48295772208178317,-0.0080220083924263,0.9775810826568618,9
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,600,6-24h,0.1216679150379521,0.6693975456072745,-0.005219556373789,0.989166609834803,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,600,<1h,-0.03609141401192845,0.3798594890023299,-0.026130802131154915,0.7272479851432926,7
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,600,>24h,0.10078861425510738,0.5957321123089555,-0.0058357155938074,0.9887609985401453,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,600,all,0.09001454916335523,0.6073790031719205,-0.0065646667537359645,0.9860061103071677,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,900,1-6h,0.09077986663366587,0.43908892548403006,-0.008667560438465756,0.9762721788460738,9
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,900,6-24h,0.1303235714883465,0.6181065475041166,-0.005312803435897,0.9869239623860854,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,900,<1h,-0.031444513900864536,0.3888212023883315,-0.026597593080314497,0.6312400638872318,7
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,900,>24h,0.12762843746799915,0.543869251086162,-0.0058104515239091,0.9881759097960591,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,depth_imbalance_1,900,all,0.10520925670658922,0.5577887509799545,-0.006545046339061173,0.9829456945822951,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,30,1-6h,0.04372377827035398,0.7642581697788684,-0.0098897277941174,0.99659577456837,9
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,30,6-24h,0.030954373293434985,0.8549525684787198,-0.00521127547302669,0.9989419724663686,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,30,<1h,0.12407839462015005,0.6340897703305715,-0.026272775070550574,0.9713952542197218,7
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,30,>24h,-0.013690683909445228,0.8530851979208997,-0.00639989373774831,0.9998710720360204,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,30,all,0.008141485706359827,0.8266036281919,-0.007379546511687482,0.9984054280845835,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,60,1-6h,0.06349507036003613,0.7134518968787883,-0.0096577044342343,0.9950213204336765,9
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,60,6-24h,0.047089947169483955,0.8254219331191431,-0.005165659113593945,0.9983318125724575,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,60,<1h,0.09364636878631338,0.6011263169586973,-0.026607046340052714,0.9566018995270272,7
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,60,>24h,-0.005983664008824363,0.8179578876921785,-0.006300043930101099,0.999804128670108,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,60,all,0.019736531768398697,0.7914662520025145,-0.0072837969162417825,0.9975938490017153,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,120,1-6h,0.08961625266624561,0.6532056364190705,-0.009259229171117545,0.9927673060125906,9
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,120,6-24h,0.05507518544906667,0.7935854117267671,-0.005148870130959009,0.9970512391835412,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,120,<1h,0.02700000350434293,0.5477768763806892,-0.02704336579830547,0.9189228801273622,7
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,120,>24h,0.0036592444525231347,0.7755437735101601,-0.006185140748792382,0.999715100157226,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,120,all,0.02938658825732209,0.7527127907563013,-0.0071663227277764365,0.9962933125022251,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,300,1-6h,0.1095001874295728,0.5693394630971047,-0.008658445930237011,0.9867564518706791,9
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,300,6-24h,0.05132404229689643,0.7256650789284539,-0.005107004104513937,0.9921625354642862,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,300,<1h,0.018032852638524145,0.519902409913976,-0.025825262016124485,0.8090265818592434,7
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,300,>24h,-0.013558280935313511,0.6814386823373895,-0.006061966337112291,0.999077669180762,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,300,all,0.022292930529572107,0.6765350092287411,-0.006921920366391573,0.9921964874566007,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,600,1-6h,0.10992123008807292,0.48295772208178317,-0.008011325174858055,0.9775810826568618,9
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,600,6-24h,0.06931710988466668,0.6693975456072745,-0.005214089243757537,0.989166609834803,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,600,<1h,-0.040835143142205266,0.3798594890023299,-0.02610494237973915,0.7272479851432926,7
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,600,>24h,-0.002654898542262139,0.5957321123089555,-0.005846853341912681,0.9887609985401453,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,600,all,0.03964983567264492,0.6073790031719205,-0.006558580504889372,0.9860061103071677,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,900,1-6h,0.06937657428545857,0.43908892548403006,-0.008661077337003055,0.9762721788460738,9
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,900,6-24h,0.08358246370003902,0.6181065475041166,-0.005307936598001563,0.9869239623860854,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,900,<1h,-0.05220849941103094,0.3888212023883315,-0.02656779488529175,0.6312400638872318,7
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,900,>24h,0.004933225690821755,0.543869251086162,-0.005823953120175254,0.9881759097960591,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,900,all,0.0418506876865992,0.5577887509799545,-0.006541290426950464,0.9829456945822951,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,depth_imbalance_1,30,6-24h,0.09581915542201967,0.8831893733247503,-0.003942006612983064,0.9944806961466796,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,depth_imbalance_1,30,>24h,0.05623815441010063,0.8608546503267213,-0.008934015092451836,0.999480156399115,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,depth_imbalance_1,30,all,0.06751064978674398,0.864907937660715,-0.007276305676909301,0.9993368925301686,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,depth_imbalance_1,60,6-24h,0.12115891299242557,0.8595183044295528,-0.003907577871449209,0.9940165964592701,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,depth_imbalance_1,60,>24h,0.06089985884088693,0.8350030336206313,-0.00889200406546741,0.9994243694211792,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,depth_imbalance_1,60,all,0.07257688830474983,0.8403567888752351,-0.007238870444484801,0.9991212018503095,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,depth_imbalance_1,120,6-24h,0.126040779047523,0.8166472660660756,-0.0038276378036583,0.9929548203729609,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,depth_imbalance_1,120,>24h,0.07130196419190579,0.7999796315475103,-0.008956219363165246,0.999451471708931,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,depth_imbalance_1,120,all,0.08000004338891388,0.8021026201961502,-0.00726721947053171,0.9987091061634635,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,depth_imbalance_1,300,6-24h,0.12442144462704467,0.7354856050175271,-0.003738655324545982,0.9846852734827141,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,depth_imbalance_1,300,>24h,0.07675247345883135,0.7288084469859997,-0.008787115579984519,0.9990797494321625,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,depth_imbalance_1,300,all,0.08628359628325707,0.7269164494290999,-0.007134151481961919,0.9965199160328201,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,depth_imbalance_1,600,6-24h,0.1378011526764345,0.6808032071309656,-0.0036104977070690633,0.9654452387695613,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,depth_imbalance_1,600,>24h,0.06774546126922776,0.6606644436742322,-0.008436110588000036,0.9989759890322977,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,depth_imbalance_1,600,all,0.08792263164119068,0.6640945774802302,-0.00687139817382349,0.9908682970871336,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,depth_imbalance_1,900,6-24h,0.15836405385446536,0.6282790513209392,-0.0033920846861078546,0.9424330557272526,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,depth_imbalance_1,900,>24h,0.08000183635082635,0.6105221982997012,-0.008145472678103964,0.9988106393592908,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,depth_imbalance_1,900,all,0.10659689823801335,0.6146871068182143,-0.006631707337759237,0.9837698413470579,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,microprice_minus_mid,30,6-24h,0.08220881544729275,0.8831893733247503,-0.003944101515256082,0.9944806961466796,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,microprice_minus_mid,30,>24h,0.056740869647574965,0.8608546503267213,-0.008946044796532882,0.999480156399115,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,microprice_minus_mid,30,all,0.06141802310361188,0.864907937660715,-0.007290057012698573,0.9993368925301686,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,microprice_minus_mid,60,6-24h,0.1030949433164634,0.8595183044295528,-0.003910211477666363,0.9940165964592701,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,microprice_minus_mid,60,>24h,0.06276427719956724,0.8350030336206313,-0.008903930831143245,0.9994243694211792,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,microprice_minus_mid,60,all,0.06616854218622317,0.8403567888752351,-0.007252807620075208,0.9991212018503095,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,microprice_minus_mid,120,6-24h,0.09925354272782064,0.8166472660660756,-0.0038284910452238818,0.9929548203729609,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,microprice_minus_mid,120,>24h,0.06815539194372529,0.7999796315475103,-0.008964197252871146,0.999451471708931,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,microprice_minus_mid,120,all,0.06732402099032196,0.8021026201961502,-0.007278395841970001,0.9987091061634635,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,microprice_minus_mid,300,6-24h,0.09303090428666684,0.7354856050175271,-0.003739502485430028,0.9846852734827141,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,microprice_minus_mid,300,>24h,0.08387999271043961,0.7288084469859997,-0.008792937556850719,0.9990797494321625,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,microprice_minus_mid,300,all,0.07835014207799257,0.7269164494290999,-0.0071442488293267095,0.9965199160328201,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,microprice_minus_mid,600,6-24h,0.10157671008616212,0.6808032071309656,-0.0036104161632649276,0.9654452387695613,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,microprice_minus_mid,600,>24h,0.0801329790736624,0.6606644436742322,-0.008441916960203473,0.9989759890322977,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,microprice_minus_mid,600,all,0.07803024663087421,0.6640945774802302,-0.006881518945573691,0.9908682970871336,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,microprice_minus_mid,900,6-24h,0.12117211471755854,0.6282790513209392,-0.003392043071963009,0.9424330557272526,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,microprice_minus_mid,900,>24h,0.09528392352159236,0.6105221982997012,-0.008149122302599636,0.9988106393592908,11
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,microprice_minus_mid,900,all,0.09812430421827019,0.6146871068182143,-0.0066408817798139005,0.9837698413470579,11
highest-temperature-in-atlanta-on-june-7-2026,Atlanta,2026-06-07,degraded,depth_imbalance_1,30,1-6h,0.0818611275324165,0.8229758065476859,-0.0090152078957754,0.9995951433989495,9
highest-temperature-in-atlanta-on-june-7-2026,Atlanta,2026-06-07,degraded,depth_imbalance_1,30,6-24h,0.08431746093410805,0.84731380459248,-0.009773242594952054,0.9999928934370891,9
highest-temperature-in-atlanta-on-june-7-2026,Atlanta,2026-06-07,degraded,depth_imbalance_1,30,<1h,0.19494162770929643,0.7748024259723615,-0.006803923679765911,0.9879350523265027,9
highest-temperature-in-atlanta-on-june-7-2026,Atlanta,2026-06-07,degraded,depth_imbalance_1,30,all,0.09226307084880583,0.8324831642727791,-0.009292201359591433,0.9987625964175921,9
highest-temperature-in-atlanta-on-june-7-2026,Atlanta,2026-06-07,degraded,depth_imbalance_1,60,1-6h,0.08120058089667714,0.7656212534098281,-0.008972914731956433,0.9994755743509709,9
highest-temperature-in-atlanta-on-june-7-2026,Atlanta,2026-06-07,degraded,depth_imbalance_1,60,6-24h,0.09718442244578279,0.7908744711880609,-0.009644064806710123,0.9999976311456964,9
highest-temperature-in-atlanta-on-june-7-2026,Atlanta,2026-06-07,degraded,depth_imbalance_1,60,<1h,0.2094348167399845,0.7262157221963759,-0.006716672884481823,0.9790195272747027,9
highest-temperature-in-atlanta-on-june-7-2026,Atlanta,2026-06-07,degraded,depth_imbalance_1,60,all,0.10076995508269747,0.7763292835258513,-0.009207047661590778,0.9979385728476825,9
highest-temperature-in-atlanta-on-june-7-2026,Atlanta,2026-06-07,degraded,depth_imbalance_1,120,1-6h,0.07276327396369481,0.6963782499167035,-0.008928833434935744,0.9997398848780814,9
highest-temperature-in-atlanta-on-june-7-2026,Atlanta,2026-06-07,degraded,depth_imbalance_1,120,6-24h,0.11158713569821664,0.7274121914079953,-0.009484789242114988,0.9999905245827855,9
highest-temperature-in-atlanta-on-june-7-2026,Atlanta,2026-06-07,degraded,depth_imbalance_1,120,<1h,0.1788156596321852,0.6562823470795007,-0.0066002750916802,0.9713472181569871,9
highest-temperature-in-atlanta-on-june-7-2026,Atlanta,2026-06-07,degraded,depth_imbalance_1,120,all,0.10552254173080224,0.7101874425608159,-0.009101628764422732,0.9974319211260239,9
highest-temperature-in-atlanta-on-june-7-2026,Atlanta,2026-06-07,degraded,depth_imbalance_1,300,1-6h,0.06304248098961546,0.5894738145274949,-0.008933620957289867,0.9992301431472251,9
highest-temperature-in-atlanta-on-june-7-2026,Atlanta,2026-06-07,degraded,depth_imbalance_1,300,6-24h,0.140561020788397,0.630437105026893,-0.009303217465194956,0.9999857868741783,9
highest-temperature-in-atlanta-on-june-7-2026,Atlanta,2026-06-07,degraded,depth_imbalance_1,300,<1h,0.24450043177837946,0.5698723157806097,-0.006157345673161878,0.9179815131924849,9
highest-temperature-in-atlanta-on-june-7-2026,Atlanta,2026-06-07,degraded,depth_imbalance_1,300,all,0.11758157019076612,0.6111291641439127,-0.008996485344883067,0.9930081269787521,9
highest-temperature-in-atlanta-on-june-7-2026,Atlanta,2026-06-07,degraded,depth_imbalance_1,600,1-6h,0.08304532386900572,0.4739721454795085,-0.00849112650671139,0.9997252009599088,9
highest-temperature-in-atlanta-on-june-7-2026,Atlanta,2026-06-07,degraded,depth_imbalance_1,600,6-24h,0.1754510760752882,0.5324430712988761,-0.00901453915438721,0.9999928934370891,9
highest-temperature-in-atlanta-on-june-7-2026,Atlanta,2026-06-07,degraded,depth_imbalance_1,600,<1h,0.23263898045427403,0.4516178656763519,-0.005822590515051812,0.8437292289512959,9
