factor,horizon_seconds,events,median_event_ic,positive_event_rate,coverage,zero_rate
bid_ask_liquidity_asymmetry,30,6,0.07491015896198805,1.0,0.9257226028631531,0.892012815532183
bid_ask_liquidity_asymmetry,120,6,0.14317595663322433,1.0,0.9035428573492418,0.825799469345053
bid_ask_liquidity_asymmetry,600,6,0.17163320172228747,0.8333333333333334,0.8155685400876438,0.7093028783458853
depth_concentration,30,6,0.012775466516722879,0.6666666666666666,0.9257226028631531,0.892012815532183
depth_concentration,120,6,0.05288178611473976,0.6666666666666666,0.9035428573492418,0.825799469345053
depth_concentration,600,6,0.10065565308609416,0.6666666666666666,0.8155685400876438,0.7093028783458853
depth_imbalance_1,30,6,0.049172417672503216,0.8333333333333334,0.9257226028631531,0.892012815532183
depth_imbalance_1,120,6,0.074994182148635,0.6666666666666666,0.9035428573492418,0.825799469345053
depth_imbalance_1,600,6,0.1529563158440726,0.8333333333333334,0.8155685400876438,0.7093028783458853
depth_imbalance_3,30,6,0.033914741583920396,0.6666666666666666,0.9257226028631531,0.892012815532183
depth_imbalance_3,120,6,0.0589333442147941,0.6666666666666666,0.9035428573492418,0.825799469345053
depth_imbalance_3,600,6,0.13101784084782098,0.8333333333333334,0.8155685400876438,0.7093028783458853
depth_imbalance_5,30,6,0.0033090983183598245,0.5,0.9257226028631531,0.892012815532183
depth_imbalance_5,120,6,0.013310476497204375,0.5,0.9035428573492418,0.825799469345053
depth_imbalance_5,600,6,0.0968391778685544,0.8333333333333334,0.8155685400876438,0.7093028783458853
depth_slope,30,6,-0.01952993866204692,0.3333333333333333,0.9257226028631531,0.892012815532183
depth_slope,120,6,-0.08463067373001684,0.3333333333333333,0.9035428573492418,0.825799469345053
depth_slope,600,6,-0.05912063661402195,0.3333333333333333,0.8155685400876438,0.7093028783458853
distance_to_zero_one,30,6,-0.2713643728991835,0.16666666666666666,0.9257226028631531,0.892012815532183
distance_to_zero_one,120,6,-0.4133297410238379,0.16666666666666666,0.9035428573492418,0.825799469345053
distance_to_zero_one,600,6,-0.5094498611532499,0.16666666666666666,0.8155685400876438,0.7093028783458853
microprice_minus_mid,30,6,0.06377435122334578,0.8333333333333334,0.9257226028631531,0.892012815532183
microprice_minus_mid,120,6,0.09319446127716535,0.8333333333333334,0.9035428573492418,0.825799469345053
microprice_minus_mid,600,6,0.14625377144801266,1.0,0.8155685400876438,0.7093028783458853
spread,30,6,-0.03569627343082444,0.3333333333333333,0.9257226028631531,0.892012815532183
spread,120,6,-0.032871992236599916,0.3333333333333333,0.9035428573492418,0.825799469345053
spread,600,6,-0.03698385584871229,0.3333333333333333,0.8155685400876438,0.7093028783458853
tick_size_regime,30,6,-0.08440896991668555,0.0,0.9257226028631531,0.892012815532183
tick_size_regime,120,6,-0.09331431502908469,0.0,0.9035428573492418,0.825799469345053
tick_size_regime,600,6,-0.08084175902882192,0.0,0.8155685400876438,0.7093028783458853
top_level_depth,30,6,0.029534454838289707,0.6666666666666666,0.9257226028631531,0.892012815532183
top_level_depth,120,6,0.06179053439216621,0.6666666666666666,0.9035428573492418,0.825799469345053
top_level_depth,600,6,0.1113628882197247,0.6666666666666666,0.8155685400876438,0.7093028783458853
