factor,horizon_seconds,activity,events,ic,coverage,zero_rate
depth_imbalance_1,30,high,4,-0.015032293246190874,0.9794667109454778,0.7586387607767988
depth_imbalance_1,30,low,6,0.06159069758633709,0.9321290595615932,0.9139099635561244
depth_imbalance_1,30,medium,6,0.1270027669695736,0.9231063169132515,0.8838468981706694
depth_imbalance_1,120,high,4,-0.05053207487701521,0.9745698280063537,0.6457711306561074
depth_imbalance_1,120,low,6,0.11125838901569451,0.8909839680886894,0.8640397811175194
depth_imbalance_1,120,medium,6,0.12940977716404556,0.9092900628360834,0.8173041947321039
depth_imbalance_1,600,high,4,0.09569347991223856,0.9370187447913247,0.5063102876093225
depth_imbalance_1,600,low,6,0.18888840995420883,0.8039261457641786,0.7209699159778299
depth_imbalance_1,600,medium,6,0.2143742661687824,0.814676686394057,0.7051637653630335
microprice_minus_mid,30,high,4,0.013954207048583727,0.9794667109454778,0.7586387607767988
microprice_minus_mid,30,low,6,0.10023653633871188,0.9321290595615932,0.9139099635561244
microprice_minus_mid,30,medium,6,0.12987857043759857,0.9231063169132515,0.8838468981706694
microprice_minus_mid,120,high,4,-0.004535154575840614,0.9745698280063537,0.6457711306561074
microprice_minus_mid,120,low,6,0.1453742517492655,0.8909839680886894,0.8640397811175194
microprice_minus_mid,120,medium,6,0.13053603553498092,0.9092900628360834,0.8173041947321039
microprice_minus_mid,600,high,4,-0.02702218114206612,0.9370187447913247,0.5063102876093225
microprice_minus_mid,600,low,6,0.20946571403367287,0.8039261457641786,0.7209699159778299
microprice_minus_mid,600,medium,6,0.20148169314470346,0.814676686394057,0.7051637653630335
