event_slug,city,quality,factor,horizon_seconds,slice_name,slice_value,token_count,coverage,zero_rate,ic,nonzero_hit_rate,top_bottom,crossing_markout_diagnostic
highest-temperature-in-buenos-aires-on-june-12-2026,Buenos Aires,degraded,bid_ask_liquidity_asymmetry,30,overall,all,11,0.9967530796549496,0.8187667871089078,0.0890866718849444,0.7005403097271908,0.0013849215126918873,-0.02134122068225457
highest-temperature-in-buenos-aires-on-june-12-2026,Buenos Aires,degraded,bid_ask_liquidity_asymmetry,120,overall,all,11,0.9911613689592692,0.7164896133482018,0.1670289943862496,0.712645543364761,0.002698682318713572,-0.021085850863930892
highest-temperature-in-buenos-aires-on-june-12-2026,Buenos Aires,degraded,bid_ask_liquidity_asymmetry,600,overall,all,11,0.9536971154918706,0.5485886502868973,0.21106029077616073,0.6650006007998095,0.005545777763691636,-0.019961806045519084
highest-temperature-in-buenos-aires-on-june-12-2026,Buenos Aires,degraded,depth_concentration,30,overall,all,11,0.9967530796549496,0.8187667871089078,0.04846529323287869,0.5827239359260994,-0.0027248600499797018,-0.021907167275254266
highest-temperature-in-buenos-aires-on-june-12-2026,Buenos Aires,degraded,depth_concentration,120,overall,all,11,0.9911613689592692,0.7164896133482018,0.09557088876747262,0.6639439210896674,-0.003968805159011201,-0.0220236016673887
highest-temperature-in-buenos-aires-on-june-12-2026,Buenos Aires,degraded,depth_concentration,600,overall,all,11,0.9536971154918706,0.5485886502868973,0.14057237641683204,0.5770342016980788,-0.004965258089743716,-0.02151003211348584
highest-temperature-in-buenos-aires-on-june-12-2026,Buenos Aires,degraded,depth_imbalance_1,30,activity_bucket,high,11,1.0,0.8372373237157723,0.06869717379886794,0.6260869565217392,-0.002926346801346799,-0.020049269601993127
highest-temperature-in-buenos-aires-on-june-12-2026,Buenos Aires,degraded,depth_imbalance_1,30,activity_bucket,low,11,0.9857672922209292,0.8527585174648443,0.10725751052947828,0.6590475765885003,0.0019442184989858608,-0.018647720070196824
highest-temperature-in-buenos-aires-on-june-12-2026,Buenos Aires,degraded,depth_imbalance_1,30,activity_bucket,medium,11,0.9985931343735586,0.8113000909484621,0.13359457561291557,0.6662626256380925,0.002110104004024475,-0.021266887665006173
highest-temperature-in-buenos-aires-on-june-12-2026,Buenos Aires,degraded,depth_imbalance_1,30,lifecycle_bucket,early,11,0.9967530796549496,0.8187667871089078,0.13019858951826357,0.6693407064130232,0.0021959660034254476,-0.02085835042622987
