event_slug,city,event_date,cohort,scope,rows,coverage,zero_rate,ic,crossing_markout,top1_update_share,top3_update_share,top1_trade_share,top3_trade_share,top1_probability_mass,top3_probability_mass,active_market_count
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,all_market,2155,0.997215777262181,0.7184737087017218,0.04065297822826405,-0.00555075187969925,0.3529498059868995,1.0,0.6324786324786325,1.0,0.9257742481696106,1.0,2.9930555555555554
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,dynamic_active,2155,0.997215777262181,0.7184737087017218,0.04065297822826405,-0.00555075187969925,0.3529498059868995,1.0,0.6324786324786325,1.0,0.9257742481696106,1.0,2.9930555555555554
highest-temperature-in-los-angeles-on-june-4-2026,Los Angeles,2026-06-04,clean,all_market,4968,0.9967793880837359,0.7855411954765751,0.09108363891437607,-0.00816305229023105,0.17193748074461565,0.6497727467627133,0.14447592067988668,0.6827195467422096,0.5114100318587161,0.9463719397545683,4.509722222222222
highest-temperature-in-los-angeles-on-june-4-2026,Los Angeles,2026-06-04,clean,dynamic_active,3247,0.997536187249769,0.6742821858598332,0.1184600773131877,-0.01116997826761875,0.17518583601124887,0.6620486781938391,0.14447592067988668,0.6827195467422096,0.5161558016172705,0.9551024977322143,4.509722222222222
highest-temperature-in-london-on-june-4-2026,London,2026-06-04,clean,all_market,6411,0.99719232569022,0.8041608008759581,0.09628526576346948,-0.0031681311784089133,0.1612233761253716,0.6221827521327543,0.3103448275862069,0.7828863346104725,0.433918127664603,0.9222959955139035,5.658333333333333
highest-temperature-in-london-on-june-4-2026,London,2026-06-04,clean,dynamic_active,4074,0.997545409916544,0.718011811023622,0.1316007844301777,-0.004243269943195852,0.17635887602330555,0.6805926875138284,0.3103448275862069,0.7828863346104725,0.440456860979385,0.9363660564088624,5.658333333333333
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,clean,all_market,7862,0.9972017298397354,0.7465561224489796,0.04800656709130867,-0.011638645161290323,0.27232920755904805,0.6977583667779614,0.34971098265895956,0.7283236994219653,0.5073685485096141,0.9133695320717344,5.1
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,clean,dynamic_active,3672,0.9978213507625272,0.5035480349344978,0.07559035180751694,-0.02300657526580862,0.3150670856375867,0.8072608041952585,0.34971098265895956,0.7283236994219653,0.5230420062730528,0.9420822204820293,5.1
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,clean,all_market,11596,0.9982752673335633,0.9970628887353145,-0.008602365443771846,-0.0010484191430545976,0.7782975958414555,0.8786658003032272,0.46,0.68,0.9897079154771589,0.9946947974060076,3.3034877667881313
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,clean,dynamic_active,6346,0.9990545225338796,0.9951104100946372,-0.01573381493072069,-0.0013428233438485837,0.7790738010580175,0.8795421038938513,0.46,0.68,0.9942540496119385,0.9992646170531984,3.3034877667881313
