event_slug,city,event_date,cohort,timestamp,lifecycle_bucket,expected_outcomes,observable_outcomes,valid_outcomes,complete_outcomes,sum_mid,sum_deviation,max_bbo_age_seconds,median_bbo_age_seconds,max_spread,median_spread,outcome_source_span_seconds,event_has_tick_size_conflict,sum_best_bid,sum_best_ask
highest-temperature-in-tokyo-on-june-12-2026,Tokyo,2026-06-12,degraded,2026-06-10 04:31:00+00:00,>24h,11,11,10,False,4.9350000000000005,3.9350000000000005,3.927,3.683,0.95,0.95,3.501,False,0.23000000000000004,9.64
highest-temperature-in-tokyo-on-june-12-2026,Tokyo,2026-06-12,degraded,2026-06-10 04:32:00+00:00,>24h,11,11,10,False,4.885,3.885,15.545,12.7645,0.96,0.9299999999999999,10.036,False,0.23000000000000004,9.54
highest-temperature-in-busan-on-june-12-2026,Busan,2026-06-12,degraded,2026-06-10 04:32:00+00:00,>24h,11,10,10,False,4.73,3.7300000000000004,18.691,5.0565,0.91,0.89,18.661,True,0.29000000000000004,9.17
highest-temperature-in-tokyo-on-june-12-2026,Tokyo,2026-06-12,degraded,2026-06-10 04:33:00+00:00,>24h,11,11,11,True,3.495,2.495,15.04,3.621,0.6799999999999999,0.6399999999999999,12.81,False,0.29000000000000004,6.699999999999999
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 04:42:00+00:00,>24h,11,10,10,False,3.1165,2.1165,18.424,17.204,0.74,0.73,6.117,True,0.24200000000000002,5.991
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 04:41:00+00:00,>24h,11,10,9,False,2.7764999999999995,1.7764999999999995,19.012,18.977,0.76,0.75,18.146,True,0.21200000000000002,5.341
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 04:40:00+00:00,>24h,11,10,9,False,2.7764999999999995,1.7764999999999995,43.335,43.321,0.76,0.75,32.224,True,0.21200000000000002,5.341
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 04:39:00+00:00,>24h,11,10,7,False,2.3265,1.3264999999999998,19.312,19.229,0.82,0.8099999999999999,0.25,True,0.11199999999999999,4.541
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 04:44:00+00:00,>24h,11,10,10,False,2.2344999999999997,1.2344999999999997,69.327,55.3495,0.7,0.31,67.502,True,0.29100000000000004,4.178
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 04:43:00+00:00,>24h,11,10,10,False,2.2344999999999997,1.2344999999999997,9.327,9.1965,0.7,0.31,7.339,True,0.29100000000000004,4.178
