event_slug,city,event_date,timestamp,snapshot,market_index,market_label,temperature_bin,raw_mid,normalized_probability
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,2026-06-04 06:00:00+00:00,T-6,0.0,39°C or below,39.0,0.9015,0.894789081885856
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,2026-06-04 06:00:00+00:00,T-6,1.0,40°C,40.0,0.10400000000000001,0.1032258064516129
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,2026-06-04 06:00:00+00:00,T-6,2.0,41°C,41.0,0.002,0.0019851116625310174
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,2026-06-04 11:00:00+00:00,T-1,0.0,39°C or below,39.0,0.9955,0.9925224327018942
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,2026-06-04 11:00:00+00:00,T-1,1.0,40°C,40.0,0.004,0.003988035892323031
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,2026-06-04 11:00:00+00:00,T-1,2.0,41°C,41.0,0.0035,0.0034895314057826515
highest-temperature-in-los-angeles-on-june-4-2026,Los Angeles,2026-06-04,2026-06-04 06:00:00+00:00,T-6,2.0,58-59°F,58.0,0.0025,0.0023629489603024575
highest-temperature-in-los-angeles-on-june-4-2026,Los Angeles,2026-06-04,2026-06-04 06:00:00+00:00,T-6,3.0,60-61°F,60.0,0.004,0.003780718336483932
highest-temperature-in-los-angeles-on-june-4-2026,Los Angeles,2026-06-04,2026-06-04 06:00:00+00:00,T-6,6.0,66-67°F,66.0,0.014499999999999999,0.013705103969754252
highest-temperature-in-los-angeles-on-june-4-2026,Los Angeles,2026-06-04,2026-06-04 06:00:00+00:00,T-6,7.0,68-69°F,68.0,0.1205,0.11389413988657844
highest-temperature-in-los-angeles-on-june-4-2026,Los Angeles,2026-06-04,2026-06-04 06:00:00+00:00,T-6,8.0,70-71°F,70.0,0.55,0.5198487712665406
highest-temperature-in-los-angeles-on-june-4-2026,Los Angeles,2026-06-04,2026-06-04 06:00:00+00:00,T-6,9.0,72-73°F,72.0,0.325,0.30718336483931946
highest-temperature-in-los-angeles-on-june-4-2026,Los Angeles,2026-06-04,2026-06-04 06:00:00+00:00,T-6,10.0,74°F or higher,74.0,0.0415,0.039224952741020794
highest-temperature-in-los-angeles-on-june-4-2026,Los Angeles,2026-06-04,2026-06-04 11:00:00+00:00,T-1,2.0,58-59°F,58.0,0.0025,0.00244140625
highest-temperature-in-los-angeles-on-june-4-2026,Los Angeles,2026-06-04,2026-06-04 11:00:00+00:00,T-1,3.0,60-61°F,60.0,0.004,0.00390625
highest-temperature-in-los-angeles-on-june-4-2026,Los Angeles,2026-06-04,2026-06-04 11:00:00+00:00,T-1,5.0,64-65°F,64.0,0.0015,0.00146484375
highest-temperature-in-los-angeles-on-june-4-2026,Los Angeles,2026-06-04,2026-06-04 11:00:00+00:00,T-1,6.0,66-67°F,66.0,0.002,0.001953125
highest-temperature-in-los-angeles-on-june-4-2026,Los Angeles,2026-06-04,2026-06-04 11:00:00+00:00,T-1,7.0,68-69°F,68.0,0.1515,0.14794921875
highest-temperature-in-los-angeles-on-june-4-2026,Los Angeles,2026-06-04,2026-06-04 11:00:00+00:00,T-1,8.0,70-71°F,70.0,0.55,0.537109375
highest-temperature-in-los-angeles-on-june-4-2026,Los Angeles,2026-06-04,2026-06-04 11:00:00+00:00,T-1,9.0,72-73°F,72.0,0.25,0.244140625
highest-temperature-in-los-angeles-on-june-4-2026,Los Angeles,2026-06-04,2026-06-04 11:00:00+00:00,T-1,10.0,74°F or higher,74.0,0.0625,0.06103515625
highest-temperature-in-london-on-june-4-2026,London,2026-06-04,2026-06-04 06:00:00+00:00,T-6,2.0,15°C,15.0,0.0035,0.0033751205400192868
highest-temperature-in-london-on-june-4-2026,London,2026-06-04,2026-06-04 06:00:00+00:00,T-6,3.0,16°C,16.0,0.013,0.012536162005785922
highest-temperature-in-london-on-june-4-2026,London,2026-06-04,2026-06-04 06:00:00+00:00,T-6,4.0,17°C,17.0,0.215,0.20732883317261333
highest-temperature-in-london-on-june-4-2026,London,2026-06-04,2026-06-04 06:00:00+00:00,T-6,5.0,18°C,18.0,0.415,0.40019286403085824
highest-temperature-in-london-on-june-4-2026,London,2026-06-04,2026-06-04 06:00:00+00:00,T-6,6.0,19°C,19.0,0.325,0.31340405014464806
highest-temperature-in-london-on-june-4-2026,London,2026-06-04,2026-06-04 06:00:00+00:00,T-6,7.0,20°C,20.0,0.054000000000000006,0.05207328833172614
highest-temperature-in-london-on-june-4-2026,London,2026-06-04,2026-06-04 06:00:00+00:00,T-6,8.0,21°C,21.0,0.0075,0.007232401157184185
