event_slug,city,event_date,cohort,lifecycle_bucket,grid_rows,updates,trades,updates_per_minute,trades_per_minute,active_market_count,spread_median,spread_p90
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,<1h,60,436,7,7.266666666666667,0.11666666666666667,3.0,0.0030000000000000027,0.005
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,1-6h,300,50729,68,169.09666666666666,0.22666666666666666,3.0,0.006,0.018000000000000002
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,6-24h,360,85175,42,236.59722222222223,0.11666666666666667,2.986111111111111,0.009000000000000001,0.03600000000000003
highest-temperature-in-los-angeles-on-june-4-2026,Los Angeles,2026-06-04,clean,<1h,60,31358,9,522.6333333333333,0.15,4.0,0.006,0.05000000000000002
highest-temperature-in-los-angeles-on-june-4-2026,Los Angeles,2026-06-04,clean,1-6h,300,149207,232,497.3566666666667,0.7733333333333333,4.343333333333334,0.010000000000000009,0.06
highest-temperature-in-los-angeles-on-june-4-2026,Los Angeles,2026-06-04,clean,6-24h,360,134407,122,373.35277777777776,0.3388888888888889,4.733333333333333,0.009999999999999995,0.020000000000000018
highest-temperature-in-london-on-june-4-2026,London,2026-06-04,clean,<1h,60,71322,185,1188.7,3.0833333333333335,5.0,0.002,0.020000000000000018
highest-temperature-in-london-on-june-4-2026,London,2026-06-04,clean,1-6h,300,258246,489,860.82,1.63,6.59,0.0040000000000000036,0.020000000000000018
highest-temperature-in-london-on-june-4-2026,London,2026-06-04,clean,6-24h,360,145103,109,403.06388888888887,0.30277777777777776,4.991666666666666,0.004,0.010000000000000009
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,clean,<1h,60,72167,16,1202.7833333333333,0.26666666666666666,4.0,0.002,0.17010000000000006
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,clean,1-6h,300,434611,245,1448.7033333333334,0.8166666666666667,5.506666666666667,0.002,0.07
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,clean,6-24h,360,383065,85,1064.0694444444443,0.2361111111111111,4.944444444444445,0.006999999999999999,0.044
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,clean,1-6h,122,0,2,0.0,0.01639344262295082,3.0,0.0015,0.0022000000000002747
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,clean,6-24h,1080,9333,39,8.641666666666667,0.03611111111111111,3.6462962962962964,0.002,0.004
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,clean,>24h,719,13943,21,19.39221140472879,0.02920723226703755,2.8400556328233657,0.003,0.004
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,clean,1-6h,179,27241,15,152.18435754189943,0.08379888268156424,3.7541899441340782,0.006,0.030000000000000027
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,clean,6-24h,1080,430456,127,398.57037037037037,0.1175925925925926,4.425,0.005,0.03
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,clean,>24h,720,177078,35,245.94166666666666,0.04861111111111111,4.069444444444445,0.007999999999999998,0.03
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,clean,1-6h,179,137021,173,765.4804469273743,0.9664804469273743,4.4525139664804465,0.003,0.18999999999999997
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,clean,6-24h,1080,417962,293,387.0018518518518,0.2712962962962963,5.159259259259259,0.0049999999999999975,0.049
